date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2021-12-31,AYA.TO,USD,,2021-12-31,2021-12-31,2021,FY,34301914.0,18292185.0,16009729.0,0.4667299031768315,0.0,9591419.0,0.0,9591419.0,768755.0,10360174.0,28652359.0,161794.0,161794.0,3198076.0,6898469.0,0.2011103228816911,5879000.0,0.17138985305601315,-761617.0,5117383.0,0.1491865147816533,3845241.0,-306642.0,-0.00893950116019765,-0.003118,-0.003118,98347565.0,102985107.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,AYA.TO,USD,,2020-12-31,2020-12-31,2020,FY,13822709.0,9779055.0,4043654.0,0.2925370128243313,0.0,5735983.0,0.0,5735983.0,140693.0,5876676.0,15655731.0,229707.0,158405.0,2206423.0,1018013.0,0.0736478645394329,-832832.0,-0.06025099710917737,-9218.0,-842050.0,-0.060917870729970514,937540.0,-2284355.0,-0.16526102083173422,-0.021,-0.021,83690945.0,83690945.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-12-31,AYA.TO,USD,,2019-12-31,2019-12-31,2019,FY,6081400.0,4766577.0,1314823.0,0.2162039990791594,0.0,800527.0,0.0,800527.0,246067.0,1046594.0,5813171.0,402355.0,300293.0,1602447.0,1922273.0,0.316090538362877,42921.0,0.007057749860229553,59214.0,102135.0,0.016794652547110864,678648.0,-659115.0,-0.10838211596014076,-0.007,-0.007,79053123.0,79053123.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2018-12-31,AYA.TO,USD,,2018-12-31,2018-12-31,2018,FY,0.0,0.0,0.0,0.0,0.0,1975557.072899,0.0,1975557.072899,348051.80502600013,2323608.877925,2323608.877925,188559.723354,159196.19979,0.0,-2764491.971542,0.0,1564482.426966,0.0,-4077095.952366,-2512613.5254,0.0,0.0,-2512613.5254,0.0,-0.03671,-0.03671,73130780.0,73130780.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2017-12-31,AYA.TO,USD,,2017-12-31,2017-12-31,2017,FY,0.0,0.0,0.0,0.0,0.0,1199323.260437,0.0,1199323.260437,271487.87276399997,1470811.133201,1470811.133201,0.0,393758.250497,0.0,-1733848.111332,0.0,-923644.532803,0.0,-491422.664016,-1415067.196819,0.0,304703.777336,-1719770.974155,0.0,-0.031809,-0.031809,52741341.0,52741341.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2016-12-31,AYA.TO,USD,,2016-12-31,2016-12-31,2016,FY,0.0,0.0,0.0,0.0,0.0,1259766.38643,0.0,1259766.38643,337884.08600499993,1597650.472435,1597650.472435,0.0,774894.725095,0.0,-1873551.819061,0.0,-2379697.195149,0.0,-857357.3394840001,-3237054.534633,0.0,132512.46187,-3369566.996503,0.0,-0.059519,-0.059519,46726569.0,46726569.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2015-12-31,AYA.TO,USD,,2015-12-31,2015-12-31,2015,FY,0.0,0.0,0.0,0.0,0.0,1013618.31533,0.0,1013618.31533,488743.8837199999,1502362.19905,1502362.19905,0.0,807730.833255,0.0,-1883752.855465,0.0,-129281.03539,0.0,-5864666.460088,-5993947.495478,0.0,243728.786689,-6237676.282167,0.0,-0.201774,-0.201774,34299382.0,34299382.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2014-12-31,AYA.TO,USD,,2014-12-31,2014-12-31,2014,FY,0.0,0.0,0.0,0.0,0.0,2274704.098685,0.0,2274704.098685,698153.0933969999,2972857.192082,2972857.192082,0.0,1008319.69402,0.0,-3265392.898368,0.0,-11212644.935651,0.0,-1958539.358750999,-13171184.294402,0.0,-373495.511948,-12797688.782454,0.0,-0.447944,-0.447944,29557038.0,29557038.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2013-12-31,AYA.TO,USD,,2013-12-31,2013-12-31,2013,FY,0.0,10992.9844,-10992.9844,0.0,0.0,2416820.534012,0.0,2416820.534012,0.0,2416820.534012,2427813.518412,-351685.340496,351685.340496,10992.9844,-2416820.534012,0.0,-2314000.206617,0.0,-1335957.06115,-3649957.267767,0.0,-372801.637912,-3277155.629854,0.0,-0.1127,-0.1127,27203984.0,27203984.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2012-12-31,AYA.TO,USD,,2012-12-31,2012-12-31,2012,FY,0.0,4075.068102,-4075.068102,0.0,0.0,2258664.294402,0.0,2258664.294402,0.0,2258664.294402,2262739.362504,0.0,70528.633033,4075.068102,-2258664.294402,0.0,-2719772.22239,0.0,71622.28722499963,-2648149.935165,0.0,-355029.502528,-2293120.432637,0.0,-0.120624,-0.120624,19365360.0,19365360.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
