date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,ABX.TO,USD,,2022-06-30,2022-06-30,2022,Q2,5780000000,0.0,5780000000,577000000,1699000000,754000000.0,8810000000,25202000000,4769000000.0,149000000.0,4918000000.0,4113000000.0,6000000.0,3793000000,38032000000,0.0,46842000000,1537000000,13000000.0,303000000.0,0.0,680000000.0,2230000000,5131000000,0.0,3368000000,3579000000.0,12078000000,0.0,0.0,14308000000,0.0,28363000000.0,-6173000000,9000000.0,1912000000.0,24111000000,38419000000,8423000000,32534000000,46842000000,0.0,5144000000,-636000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,ABX.TO,USD,,2022-03-31,2022-03-31,2022,Q1,5887000000,0.0,5887000000,640000000,1766000000,722000000.0,9015000000,25153000000,4769000000.0,149000000.0,4918000000.0,4334000000.0,15000000.0,3871000000,38291000000,0.0,47306000000,1525000000,14000000.0,342000000.0,0.0,708000000.0,2247000000,5130000000,0.0,3308000000,3995000000.0,12433000000,0.0,0.0,14680000000,0.0,28497000000.0,-6306000000,35000000.0,1949000000.0,24175000000,38855000000,8451000000,32626000000,47306000000,0.0,5144000000,-743000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,ABX.TO,USD,,2021-12-31,2021-12-31,2021,Q4,5280000000,0.0,5280000000,942000000,1734000000,293000000.0,8249000000,24954000000,4769000000.0,150000000.0,4919000000.0,5008000000.0,29000000.0,3731000000,38641000000,0.0,46890000000,539000000,24000000.0,285000000.0,43000000.0,1480000000.0,2086000000,5449000000,592000000.0,3293000000,3163000000.0,12497000000,0.0,68000000.0,14583000000,0.0,28497000000.0,-6566000000,-23000000.0,1949000000.0,23857000000,38440000000,8450000000,32307000000,46890000000,0.0,5473000000,193000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,ABX.TO,USD,,2021-09-30,2021-09-30,2021,Q3,5043000000,0.0,5043000000,600000000,1821000000,547000000.0,8011000000,24747000000,4769000000.0,151000000.0,4920000000.0,4762000000.0,55000000.0,4139000000,38623000000,0.0,46634000000,1444000000,15000000.0,212000000.0,0.0,521000000.0,1980000000,5139000000,0.0,3175000000,4250000000.0,12564000000,0.0,0.0,14544000000,0.0,28746000000.0,-7132000000,-30000000.0,2034000000.0,23618000000,38162000000,8472000000,32090000000,46634000000,0.0,5154000000,111000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,ABX.TO,USD,,2021-06-30,2021-06-30,2021,Q2,5138000000,0.0,5138000000,554000000,1825000000,522000000.0,8039000000,24755000000,4769000000.0,158000000.0,4927000000.0,4715000000.0,61000000.0,4031000000,38489000000,0.0,46528000000,1157000000,15000000.0,311000000.0,0.0,626000000.0,1798000000,5137000000,0.0,3197000000,4222000000.0,12556000000,0.0,0.0,14354000000,0.0,28995000000.0,-7320000000,-20000000.0,2034000000.0,23689000000,38043000000,8485000000,32174000000,46528000000,0.0,5152000000,14000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,ABX.TO,USD,,2021-03-31,2021-03-31,2021,Q1,5672000000,0.0,5672000000,530000000,1776000000,806000000.0,8784000000,24628000000,4769000000.0,168000000.0,4937000000.0,4646000000.0,58000000.0,3795000000,38064000000,0.0,46848000000,1168000000,13000000.0,606000000.0,0.0,1150000000.0,2331000000,5140000000,0.0,3085000000,4213000000.0,12438000000,0.0,0.0,14769000000,0.0,29238000000.0,-7571000000,-33000000.0,2040000000.0,23674000000,38443000000,8405000000,32079000000,46848000000,0.0,5153000000,-519000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,ABX.TO,USD,,2020-12-31,2020-12-31,2020,Q4,5188000000,0.0,5188000000,766000000,1878000000,311000000.0,8143000000,24628000000,4769000000.0,169000000.0,4938000000.0,5098000000.0,98000000.0,3601000000,38363000000,0.0,46506000000,929000000,20000000.0,436000000.0,47000000.0,1224000000.0,2220000000,5344000000,596000000.0,3034000000,3602000000.0,12576000000,0.0,66000000.0,14796000000,0.0,29236000000.0,-7949000000,14000000.0,2040000000.0,23341000000,38137000000,8369000000,31710000000,46506000000,0.0,5364000000,176000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,ABX.TO,USD,,2020-09-30,2020-09-30,2020,Q3,4744000000,0.0,4744000000,509000000,2111000000,495000000.0,7859000000,24698000000,4769000000.0,170000000.0,4939000000.0,4643000000.0,165000000.0,3812000000,38257000000,0.0,46116000000,1032000000,21000000.0,339000000.0,0.0,698000000.0,1751000000,5140000000,0.0,3064000000,4511000000.0,12715000000,0.0,0.0,14466000000,0.0,29235000000.0,-8474000000,0.0,2038000000.0,22799000000,37265000000,8851000000,31650000000,46116000000,0.0,5161000000,417000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,ABX.TO,USD,,2020-06-30,2020-06-30,2020,Q2,3743000000,0.0,3743000000,407000000,2160000000,609000000.0,6919000000,24727000000,4769000000.0,214000000.0,4983000000.0,4587000000.0,143000000.0,3821000000,38261000000,0.0,45180000000,1072000000,26000000.0,122000000.0,0.0,713000000.0,1811000000,5142000000,0.0,3106000000,4375000000.0,12623000000,0.0,0.0,14434000000,0.0,29234000000.0,-9214000000,-37000000.0,2049000000.0,22032000000,36466000000,8714000000,30746000000,45180000000,0.0,5168000000,1425000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,ABX.TO,USD,,2020-03-31,2020-03-31,2020,Q1,3327000000,0.0,3327000000,371000000,2159000000,594000000.0,6451000000,24809000000,4769000000.0,230000000.0,4999000000.0,4556000000.0,149000000.0,3975000000,38488000000,0.0,44939000000,1140000000,29000000.0,249000000.0,0.0,801000000.0,1970000000,5150000000,0.0,3079000000,4385000000.0,12614000000,0.0,0.0,14584000000,0.0,29233000000.0,-9446000000,-147000000.0,2047000000.0,21687000000,36271000000,8668000000,30355000000,44939000000,0.0,5179000000,1852000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
