date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,ABX.TO,USD,,2022-06-30,2022-06-30,2022,Q2,488000000.0,476000000.0,279000000.0,-6000000.0,-37000000.0,41000000.0,-40000000.0,42000000.0,-3000000.0,-276000000.0,924000000,0.0,0.0,0.0,122000000.0,-423000000.0,-301000000.0,-4000000.0,0.0,-173000000.0,-353000000.0,-197000000.0,-727000000.0,-3000000.0,-107000000.0,5780000000,5887000000,924000000,-755000000,169000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,ABX.TO,USD,,2022-03-31,2022-03-31,2022,Q1,438000000.0,460000000.0,301000000.0,35000000.0,-146000000.0,27000000.0,-40000000.0,-25000000.0,-15000000.0,-84000000.0,1004000000,0.0,0.0,0.0,0.0,9000000.0,9000000.0,-6000000.0,0.0,0.0,-178000000.0,-222000000.0,-406000000.0,0.0,607000000.0,5887000000,5280000000,1004000000,-611000000,393000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,ABX.TO,USD,,2021-12-31,2021-12-31,2021,Q4,726000000.0,557000000.0,304000000.0,40000000.0,-106000000.0,-31000000.0,20000000.0,4000000.0,-24000000.0,-134000000.0,1387000000,0.0,6000000.0,0.0,0.0,-393000000.0,-387000000.0,-21000000.0,0.0,-250000000.0,-159000000.0,-333000000.0,-763000000.0,0.0,237000000.0,5280000000,5043000000,1387000000,-669000000,718000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,ABX.TO,USD,,2021-09-30,2021-09-30,2021,Q3,347000000.0,538000000.0,323000000.0,5000000.0,66000000.0,-21000000.0,-72000000.0,209000000.0,8000000.0,-229000000.0,1050000000,0.0,1000000.0,0.0,0.0,-500000000.0,-499000000.0,-5000000.0,0.0,-250000000.0,-158000000.0,-233000000.0,-646000000.0,0.0,-95000000.0,5043000000,5138000000,1050000000,-569000000,481000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,ABX.TO,USD,,2021-06-30,2021-06-30,2021,Q2,411000000.0,500000000.0,343000000.0,23000000.0,-279000000.0,-29000000.0,-97000000.0,28000000.0,-82000000.0,-359000000.0,639000000,0.0,19000000.0,0.0,0.0,-622000000.0,-603000000.0,-4000000.0,0.0,-250000000.0,-159000000.0,-157000000.0,-570000000.0,0.0,-534000000.0,5138000000,5672000000,639000000,-658000000,-19000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,ABX.TO,USD,,2021-03-31,2021-03-31,2021,Q1,538000000.0,507000000.0,374000000.0,13000000.0,-124000000.0,35000000.0,-20000000.0,-101000000.0,-22000000.0,-6000000.0,1302000000,0.0,0.0,0.0,0.0,-408000000.0,-408000000.0,-13000000.0,0.0,0.0,-158000000.0,-238000000.0,-409000000.0,-1000000.0,484000000.0,5672000000,5188000000,1302000000,-539000000,763000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,ABX.TO,USD,,2020-12-31,2020-12-31,2020,Q4,685000000.0,544000000.0,404000000.0,14000000.0,0.0,-34000000.0,45000000.0,203000000.0,-36000000.0,-9000000.0,1638000000,0.0,27000000.0,0.0,12000000.0,-444000000.0,-405000000.0,-8000000.0,0.0,0.0,-160000000.0,-621000000.0,-789000000.0,0.0,444000000.0,5188000000,4744000000,1638000000,-546000000,1092000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,ABX.TO,USD,,2020-09-30,2020-09-30,2020,Q3,882000000.0,574000000.0,284000000.0,23000000.0,-54000000.0,-110000000.0,101000000.0,-88000000.0,-51000000.0,150000000.0,1859000000,0.0,0.0,0.0,2000000.0,-456000000.0,-454000000.0,-8000000.0,0.0,0.0,-141000000.0,-259000000.0,-408000000.0,4000000.0,1001000000.0,4744000000,3743000000,1859000000,-548000000,1311000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,ABX.TO,USD,,2020-06-30,2020-06-30,2020,Q2,357000000.0,566000000.0,258000000.0,33000000.0,12000000.0,-40000000.0,59000000.0,6000000.0,21000000.0,-195000000.0,1031000000,0.0,0.0,0.0,206000000.0,-470000000.0,-264000000.0,-7000000.0,0.0,0.0,-124000000.0,-217000000.0,-348000000.0,-3000000.0,416000000.0,3743000000,3327000000,1031000000,-509000000,522000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,ABX.TO,USD,,2020-03-31,2020-03-31,2020,Q1,400000000.0,524000000.0,386000000.0,17000000.0,-336000000.0,-8000000.0,-84000000.0,-79000000.0,-4000000.0,-102000000.0,889000000,0.0,256000000.0,0.0,0.0,-419000000.0,-163000000.0,-356000000.0,0.0,0.0,-122000000.0,-231000000.0,-709000000.0,-4000000.0,13000000.0,3327000000,3314000000,889000000,-451000000,438000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Barrick Gold Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
