date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,AYA.TO,USD,,2022-06-30,2022-06-30,2022,Q2,65448594.0,0.0,65448594.0,11517901.0,4707826.0,1382865.0,83057186.0,72736847.0,0.0,0.0,0.0,0.0,0.0,3102871.0,75839718.0,0.0,158896904.0,17580359.0,214468.0,0.0,0.0,1371650.0,19166477.0,72449.0,0.0,1008049.0,1016934.0,2097432.0,0.0,286917.0,21263909.0,0.0,170419287.0,-54123011.0,13638875.0,0.0,129935151.0,151199060.0,7697844.0,137632995.0,158896904.0,0.0,286917.0,-65161677.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,AYA.TO,USD,,2022-03-31,2022-03-31,2022,Q1,74085318.0,0.0,74085318.0,8927756.0,3702388.0,1338001.0,88053463.0,68980195.0,0.0,0.0,0.0,0.0,0.0,4126318.0,73106513.0,0.0,161159976.0,16334680.0,234471.0,318139.0,0.0,1740071.0,18309222.0,123314.0,0.0,1059808.0,1070668.0,2253790.0,0.0,357785.0,20563012.0,0.0,170402857.0,-54391183.0,-1006750.0,18350343.0,133355267.0,153918279.0,7241697.0,140596964.0,161159976.0,0.0,357785.0,-73727533.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,AYA.TO,USD,,2021-12-31,2021-12-31,2021,Q4,81665834.0,0.0,81665834.0,6866591.0,4376272.0,955476.0,93864173.0,63518833.0,0.0,0.0,0.0,0.0,0.0,3874872.0,67393705.0,0.0,161257878.0,13759188.0,244634.0,3248575.0,0.0,3446962.0,17450784.0,181245.0,0.0,1081258.0,2542902.0,3805405.0,0.0,425879.0,21256189.0,0.0,169628275.0,-52233997.0,-2451809.0,18012460.0,132954929.0,154211118.0,7046760.0,140001689.0,161257878.0,0.0,425879.0,-81239955.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,AYA.TO,USD,,2021-09-30,2021-09-30,2021,Q3,85315222.0,0.0,85315222.0,6260320.0,3340765.0,629450.0,95545757.0,57951641.0,0.0,0.0,0.0,0.0,0.0,4433612.0,62385253.0,0.0,157931010.0,12317577.0,183403.0,2195543.0,0.0,2390784.0,14891764.0,132879.0,0.0,1150450.0,2517156.0,3800485.0,0.0,316282.0,18692249.0,0.0,168963126.0,-50805723.0,14194307.0,0.0,132351710.0,151043959.0,6887051.0,139238761.0,157931010.0,0.0,316282.0,-84998940.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,AYA.TO,USD,,2021-06-30,2021-06-30,2021,Q2,34086926.0,0.0,34086926.0,5577826.0,3397176.0,341730.0,43403658.0,53300028.0,0.0,0.0,0.0,0.0,0.0,3909538.0,57209566.0,0.0,100613224.0,8890998.0,111169.0,1691397.0,0.0,2043942.0,11046109.0,133029.0,0.0,1433261.0,2493247.0,4059537.0,0.0,244198.0,15105646.0,0.0,110336054.0,-48616682.0,17136599.0,57675.0,78913646.0,94019292.0,6593932.0,85507578.0,100613224.0,0.0,244198.0,-33842728.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,AYA.TO,USD,,2021-03-31,2021-03-31,2021,Q1,29050874.0,0.0,29050874.0,5595499.0,2248299.0,247789.0,37142461.0,32153486.0,0.0,0.0,0.0,8282134.0,0.0,4002578.0,44438198.0,0.0,81580659.0,6225238.0,122024.0,910385.0,0.0,1236374.0,7583636.0,157492.0,0.0,1302221.0,2290793.0,3750506.0,0.0,279516.0,11334142.0,0.0,101644343.0,-48183866.0,15398573.0,0.0,68859050.0,80193192.0,1387467.0,70246517.0,81580659.0,0.0,279516.0,-28771358.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,AYA.TO,USD,,2020-12-31,2020-12-31,2020,Q4,30533399.0,0.0,30533399.0,6257485.0,1723948.0,364038.0,38878870.0,30391923.0,0.0,0.0,0.0,0.0,0.0,2804772.0,33196695.0,0.0,72075565.0,5358262.0,134102.0,540767.0,128723.0,735900.0,6356987.0,182224.0,0.0,1149810.0,2460476.0,3792510.0,0.0,316326.0,10149497.0,0.0,95513459.0,-48487280.0,-2147399.0,16155512.0,61034292.0,71183789.0,891776.0,61926068.0,72075565.0,0.0,316326.0,-30217073.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,AYA.TO,USD,,2020-09-30,2020-09-30,2020,Q3,30034668.0,0.0,30034668.0,2128677.0,2166105.0,98859.0,34428309.0,27729004.0,0.0,0.0,0.0,0.0,0.0,1363588.0,29092592.0,0.0,63520901.0,3319555.0,355442.0,0.0,0.0,186047.0,3861044.0,0.0,0.0,608777.0,2410233.0,3019010.0,0.0,37684.0,6880054.0,0.0,95512152.0,-49536572.0,-5291533.0,15643396.0,56327443.0,63207497.0,313404.0,56640847.0,63520901.0,0.0,355442.0,-29679226.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,AYA.TO,USD,,2020-06-30,2020-06-30,2020,Q2,14410577.0,0.0,14410577.0,1991463.0,1718666.0,43380.0,18164086.0,26330827.0,0.0,0.0,0.0,0.0,0.0,302726.0,26633553.0,0.0,44797639.0,3531697.0,352738.0,0.0,0.0,228618.0,4113053.0,0.0,0.0,608777.0,2320984.0,2929761.0,0.0,50342.0,7042814.0,0.0,79113728.0,-45511914.0,-5123934.0,9027590.0,37505470.0,44548284.0,249355.0,37754825.0,44797639.0,0.0,352738.0,-14057839.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,AYA.TO,USD,,2020-03-31,2020-03-31,2020,Q1,14831283.0,0.0,14831283.0,1069917.0,2652820.0,47884.0,18601904.0,24982569.0,0.0,0.0,0.0,0.0,0.0,291364.0,25273933.0,0.0,43875837.0,3879311.0,55157.0,0.0,0.0,191191.0,4125659.0,5891.0,0.0,608777.0,2173965.0,2788633.0,0.0,61048.0,6914292.0,0.0,79117400.0,-44321490.0,-6970712.0,8807702.0,36632900.0,43547192.0,328645.0,36961545.0,43875837.0,0.0,61048.0,-14770235.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
