date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,AYA.TO,USD,,2022-06-30,2022-06-30,2022,Q2,268172.0,1395654.0,-51761.0,941551.0,-2612102.0,-1388640.0,-1005438.0,1293833.0,0.0,1159295.0,1100809.0,-7705812.0,0.0,0.0,0.0,-66665.0,-7772477.0,-63590.0,0.0,0.0,0.0,412640.0,349050.0,-2314106.0,-8636724.0,65448594.0,74085318.0,1100809.0,-7705812.0,-6605003.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,AYA.TO,USD,,2022-03-31,2022-03-31,2022,Q1,-2157186.0,1566843.0,-21450.0,677271.0,-2333084.0,-1293841.0,673884.0,2548988.0,0.0,1475440.0,-792166.0,-7873930.0,0.0,0.0,0.0,-184520.0,-8058450.0,-65324.0,0.0,0.0,0.0,35762.0,-29562.0,1299662.0,-7580516.0,74085318.0,81665834.0,-792166.0,-8110438.0,-8902604.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,AYA.TO,USD,,2021-12-31,2021-12-31,2021,Q4,-1245742.0,940148.0,0.0,842170.0,800466.0,466374.0,-1045389.0,1449913.0,0.0,348298.0,1685340.0,-8111962.0,0.0,0.0,0.0,2277288.0,-5834674.0,-89812.0,0.0,0.0,0.0,352140.0,262328.0,237618.0,-3649388.0,81665834.0,85315222.0,1685340.0,-6388882.0,-4703542.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,AYA.TO,USD,,2021-09-30,2021-09-30,2021,Q3,1010827.0,666135.0,0.0,663385.0,2765622.0,405534.0,-29653.0,3467377.0,0.0,867177.0,5973146.0,-6284494.0,0.0,0.0,0.0,-876725.0,-7161219.0,-62482.0,55202199.0,0.0,0.0,-812075.0,54327642.0,-1911273.0,51228296.0,85315222.0,34086926.0,5973146.0,-6821810.0,-848664.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,AYA.TO,USD,,2021-06-30,2021-06-30,2021,Q2,-375141.0,778643.0,98943.0,1699206.0,2185370.0,589396.0,-1114326.0,2564137.0,0.0,1106619.0,5493640.0,-3135138.0,-727410.0,0.0,0.0,26630.0,-3835918.0,-41096.0,0.0,0.0,0.0,2860316.0,2819220.0,559110.0,5036052.0,34086926.0,29050874.0,5493640.0,-3135138.0,2358502.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,AYA.TO,USD,,2021-03-31,2021-03-31,2021,Q1,303414.0,813150.0,152411.0,1107080.0,1511019.0,870801.0,-500924.0,798508.0,0.0,336490.0,4223564.0,-2750820.0,-2824989.0,0.0,0.0,-1164518.0,-6740327.0,-41716.0,0.0,0.0,0.0,502267.0,460551.0,573687.0,-1482525.0,29050874.0,30533399.0,4223564.0,-3936584.0,286980.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,AYA.TO,USD,,2020-12-31,2020-12-31,2020,Q4,1049292.0,1015995.0,0.0,512116.0,-961157.0,-3149814.0,521142.0,1781968.0,0.0,1793169.0,3409415.0,-2790534.0,0.0,0.0,0.0,-1512715.0,-4303249.0,-48137.0,0.0,1307.0,0.0,-313904.0,-360734.0,1753299.0,498731.0,30533399.0,30034668.0,3409415.0,-2790534.0,618881.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,AYA.TO,USD,,2020-09-30,2020-09-30,2020,Q3,-1848553.0,427841.0,0.0,2404283.0,-887213.0,61557.0,-403439.0,-281988.0,-7135.0,-1425599.0,-1329241.0,-295521.0,0.0,0.0,0.0,-1027392.0,-1322913.0,-15545.0,20016468.0,0.0,0.0,-1571306.0,18429617.0,-153372.0,15624091.0,30034668.0,14410577.0,-1329241.0,-295521.0,-1624762.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,AYA.TO,USD,,2020-06-30,2020-06-30,2020,Q2,-1115203.0,417943.0,0.0,0.0,-179446.0,-838864.0,1024897.0,-330116.0,-9627.0,-18806.0,-895512.0,-447703.0,0.0,0.0,0.0,0.0,-447703.0,-14507.0,0.0,-2932.0,0.0,302585.0,285146.0,637363.0,-420706.0,14410577.0,14831283.0,-895512.0,-447703.0,-1343215.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,AYA.TO,USD,,2020-03-31,2020-03-31,2020,Q1,-369891.0,344664.0,0.0,0.0,680621.0,854445.0,-609378.0,354074.0,-9172.0,-561863.0,93531.0,-404299.0,0.0,0.0,0.0,0.0,-404299.0,-14988.0,0.0,-49063.0,0.0,0.0,-64051.0,-1415189.0,-1790008.0,14831283.0,16621291.0,93531.0,-404299.0,-310768.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
