date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,AYA.TO,USD,,2022-06-30,2022-06-30,2022,Q2,8573549.0,5780483.0,2793066.0,0.32577710817305644,0.0,2257342.0,0.0,2257342.0,93660.0,2351002.0,8131485.0,0.0,-58692.0,1395654.0,2357306.0,0.2749510150347307,505093.0,0.05891294258655313,971398.0,1476491.0,0.17221468029167383,752172.0,268172.0,0.03127899543118025,0.002551,0.002467,105104368.0,108687890.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,AYA.TO,USD,,2022-03-31,2022-03-31,2022,Q1,9162864.0,6961784.0,2201080.0,0.24021746912319117,0.0,2218895.0,0.0,2218895.0,295195.0,2514090.0,9475874.0,0.0,-120628.0,1566843.0,-199131.0,-0.021732397206812193,-250396.0,-0.027327263615393615,-1200013.0,-1450409.0,-0.1582921016834911,511840.0,-2157186.0,-0.235427045517646,-0.02055,-0.02055,104971492.0,104971492.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,AYA.TO,USD,,2021-12-31,2021-12-31,2021,Q4,8025122.0,4634254.0,3390868.0,0.42253164500178314,0.0,2442752.0,0.0,2442752.0,596923.0,3039675.0,7673929.0,0.0,41884.0,940148.0,966395.0,0.12042122225680806,408806.0,0.050940783205538805,-264734.0,144072.0,0.01795262427163101,1230105.0,-1245742.0,-0.15523028808783218,-0.011839853254257907,-0.011576236850908821,105216000.0,107612000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,AYA.TO,USD,,2021-09-30,2021-09-30,2021,Q3,7862243.0,4772246.0,3089997.0,0.39301723439481584,0.0,2072129.0,0.0,2072129.0,59583.0,2131712.0,6903958.0,0.0,-36345.0,666135.0,2030246.0,0.2582273277485827,1017868.0,0.1294628008826489,659573.0,1677441.0,0.21335400088753298,389629.0,1010827.0,0.1285672549169493,0.011,0.011,95677670.0,99060217.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,AYA.TO,USD,,2021-06-30,2021-06-30,2021,Q2,9873276.0,4922434.0,4950842.0,0.5014386309062969,0.0,2956994.0,0.0,2956994.0,56200.0,3013194.0,7935628.0,44207.0,355.0,778643.0,1552132.0,0.15720536932219864,1993848.0,0.20194391405648945,-594880.0,1398968.0,0.141692382548609,1148275.0,-375141.0,-0.03799559538293065,-0.003939,-0.003939,95247737.0,97842226.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,AYA.TO,USD,,2021-03-31,2021-03-31,2021,Q1,8541273.0,3963251.0,4578022.0,0.5359882537415676,0.0,2119544.0,0.0,2119544.0,56049.0,2175593.0,6138844.0,43307.0,3594.0,813150.0,2197390.0,0.2572672715179576,2458478.0,0.2878350803211652,-561576.0,1896902.0,0.22208656718969175,1077232.0,303414.0,0.035523276214213036,0.00322263977355893,0.0030687535142635736,94150765.0,98872066.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,AYA.TO,USD,,2020-12-31,2020-12-31,2020,Q4,9508703.0,4991686.0,4517017.0,0.47504028677728183,0.0,921880.0,0.0,921880.0,41132.0,963012.0,5954698.0,32350.0,129265.0,1015995.0,3108959.0,0.326959312957824,2960000.0,0.3112937695077867,-410453.0,2549547.0,0.26812773519164496,914407.0,1049292.0,0.11035069661971775,0.011,0.011,94150765.0,98872066.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,AYA.TO,USD,,2020-09-30,2020-09-30,2020,Q3,1748191.0,1562804.0,185387.0,0.10604504885335755,0.0,3318889.0,0.0,3318889.0,55586.0,3374475.0,4937279.0,52800.0,10963.0,427841.0,-1399816.0,-0.8007225755080537,-2117947.0,-1.2115077814723907,343376.0,-1774571.0,-1.0150898843433012,9933.0,-1848553.0,-1.057409058849977,-0.021,-0.021,83311321.0,83311321.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,AYA.TO,USD,,2020-06-30,2020-06-30,2020,Q2,2040753.0,2703983.0,-663230.0,-0.32499278452610386,0.0,760467.0,0.0,760467.0,40153.0,800620.0,3504603.0,49350.0,16246.0,417943.0,-670768.0,-0.328686519142689,-1378899.0,-0.6756814763962126,194652.0,-1184247.0,-0.5802990366791082,10246.0,-1115203.0,-0.5464664268532252,-0.015,-0.015,79568153.0,79568153.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,AYA.TO,USD,,2020-03-31,2020-03-31,2020,Q1,525062.0,566946.0,-41884.0,-0.07976962720592996,0.0,734747.0,0.0,734747.0,3822.0,738569.0,1305515.0,95207.0,68538.0,344664.0,46265.0,0.08811340375041424,-275743.0,-0.5251627426856257,-157036.0,-432779.0,-0.8242436131352107,2954.0,-369891.0,-0.7044710910330589,-0.005,-0.005,79548510.0,79548510.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Aya Gold & Silver Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
