date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,CXB.TO,USD,,2022-06-30,2022-06-30,2022,Q2,92323000.0,0.0,92323000.0,1971000.0,90386000.0,12256000.0,196936000.0,427559000.0,0.0,0.0,0.0,0.0,0.0,7872000.0,435431000.0,0.0,632367000.0,42996000.0,248000.0,12817000.0,0.0,20379000.0,63623000.0,633000.0,0.0,55223000.0,78895000.0,134751000.0,0.0,881000.0,198374000.0,0.0,290455000.0,118878000.0,3321000.0,21339000.0,433993000.0,632367000.0,0.0,433993000.0,632367000.0,0.0,881000.0,-91442000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,CXB.TO,USD,,2022-03-31,2022-03-31,2022,Q1,77321000.0,0.0,77321000.0,1940000.0,93664000.0,13902000.0,186827000.0,400120000.0,0.0,0.0,0.0,0.0,0.0,8006000.0,408126000.0,0.0,594953000.0,30842000.0,530000.0,6524000.0,0.0,15056000.0,46428000.0,0.0,0.0,54248000.0,78355000.0,132603000.0,0.0,530000.0,179031000.0,0.0,288351000.0,103450000.0,2904000.0,21217000.0,415922000.0,594953000.0,0.0,415922000.0,594953000.0,0.0,530000.0,-76791000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,CXB.TO,USD,,2021-12-31,2021-12-31,2021,Q4,78454000.0,0.0,78454000.0,1683000.0,54407000.0,6566000.0,141110000.0,290087000.0,0.0,0.0,0.0,0.0,0.0,6333000.0,296420000.0,0.0,437529000.0,21042000.0,43000.0,13502000.0,0.0,22333000.0,43418000.0,0.0,0.0,38674000.0,65985000.0,104659000.0,0.0,43000.0,148077000.0,0.0,175712000.0,91749000.0,2932000.0,19059000.0,289452000.0,437529000.0,0.0,289452000.0,437529000.0,0.0,43000.0,-78411000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,CXB.TO,USD,,2021-09-30,2021-09-30,2021,Q3,72862000.0,0.0,72862000.0,1963000.0,45874000.0,8501000.0,129200000.0,281767000.0,0.0,0.0,0.0,0.0,0.0,5749000.0,287516000.0,0.0,416716000.0,24108000.0,72000.0,12924000.0,0.0,20567000.0,44747000.0,0.0,0.0,38437000.0,57604000.0,96041000.0,0.0,72000.0,140788000.0,0.0,175673000.0,77100000.0,3970000.0,19185000.0,275928000.0,416716000.0,0.0,275928000.0,416716000.0,0.0,72000.0,-72790000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,CXB.TO,USD,,2021-06-30,2021-06-30,2021,Q2,66301000.0,0.0,66301000.0,1859000.0,41334000.0,8321000.0,117815000.0,271533000.0,0.0,0.0,0.0,0.0,0.0,6226000.0,277759000.0,0.0,395574000.0,25069000.0,101000.0,9209000.0,0.0,13347000.0,38517000.0,0.0,0.0,36810000.0,55901000.0,92711000.0,0.0,101000.0,131228000.0,0.0,174774000.0,62080000.0,4001000.0,23491000.0,264346000.0,395574000.0,0.0,264346000.0,395574000.0,0.0,101000.0,-66200000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,CXB.TO,USD,,2021-03-31,2021-03-31,2021,Q1,58221000.0,0.0,58221000.0,1519000.0,46491000.0,5083000.0,111314000.0,253037000.0,0.0,0.0,0.0,0.0,0.0,4969000.0,258006000.0,0.0,369320000.0,19901000.0,126000.0,7637000.0,0.0,12330000.0,32357000.0,0.0,0.0,33380000.0,55515000.0,88895000.0,0.0,126000.0,121252000.0,0.0,171568000.0,50195000.0,3933000.0,22372000.0,248068000.0,369320000.0,0.0,248068000.0,369320000.0,0.0,126000.0,-58095000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,CXB.TO,USD,,2020-12-31,2020-12-31,2020,Q4,53175000.0,0.0,53175000.0,987000.0,46398000.0,4886000.0,105446000.0,240939000.0,0.0,0.0,0.0,0.0,0.0,4798000.0,245737000.0,0.0,351183000.0,24272000.0,121000.0,6270000.0,0.0,11097000.0,35490000.0,0.0,0.0,30183000.0,55362000.0,85545000.0,0.0,150000.0,121035000.0,0.0,170591000.0,33550000.0,3740000.0,22267000.0,230148000.0,351183000.0,0.0,230148000.0,351183000.0,0.0,150000.0,-53025000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,CXB.TO,USD,,2020-09-30,2020-09-30,2020,Q3,55684000.0,0.0,55684000.0,3160000.0,39465000.0,2512000.0,100821000.0,225628000.0,0.0,0.0,0.0,0.0,0.0,532000.0,226160000.0,0.0,326981000.0,18624000.0,115000.0,4165000.0,0.0,23344000.0,42083000.0,0.0,0.0,28420000.0,54213000.0,82633000.0,0.0,166000.0,124716000.0,0.0,168616000.0,10295000.0,1162000.0,22192000.0,202265000.0,326981000.0,0.0,202265000.0,326981000.0,0.0,166000.0,-55518000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,CXB.TO,USD,,2020-06-30,2020-06-30,2020,Q2,25106000.0,0.0,25106000.0,3214000.0,37907000.0,2094000.0,68321000.0,208144000.0,0.0,0.0,0.0,0.0,0.0,740000.0,208884000.0,0.0,277205000.0,13133000.0,113000.0,486000.0,0.0,19200000.0,32446000.0,0.0,0.0,26072000.0,54490000.0,80562000.0,0.0,185000.0,113008000.0,0.0,165367000.0,-22635000.0,1022000.0,20443000.0,164197000.0,277205000.0,0.0,164197000.0,277205000.0,0.0,185000.0,-24921000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,CXB.TO,USD,,2020-03-31,2020-03-31,2020,Q1,43052000.0,0.0,43052000.0,2178000.0,32189000.0,2595000.0,80014000.0,204610000.0,0.0,0.0,0.0,0.0,0.0,17000.0,204627000.0,0.0,284641000.0,18174000.0,108000.0,1803000.0,0.0,20457000.0,38739000.0,0.0,0.0,24344000.0,54488000.0,78832000.0,0.0,195000.0,117571000.0,0.0,165134000.0,-17346000.0,475000.0,18807000.0,167070000.0,284641000.0,0.0,167070000.0,284641000.0,0.0,195000.0,-42857000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
