date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,CXB.TO,USD,,2022-06-30,2022-06-30,2022,Q2,15428000.0,13073000.0,551000.0,-834000.0,14382000.0,0.0,1863000.0,0.0,433000.0,637000.0,43237000.0,0.0,1085000.0,0.0,0.0,-30295000.0,-29210000.0,-535000.0,0.0,0.0,0.0,1525000.0,990000.0,-15000.0,15002000.0,92323000.0,77321000.0,43237000.0,-35544000.0,7693000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,CXB.TO,USD,,2022-03-31,2022-03-31,2022,Q1,11701000.0,12506000.0,1157000.0,1006000.0,-8536000.0,0.0,-1447000.0,0.0,979000.0,421000.0,18255000.0,0.0,6121000.0,0.0,0.0,-29127000.0,-23006000.0,-255000.0,0.0,0.0,0.0,3865000.0,3610000.0,8000.0,-1133000.0,77321000.0,78454000.0,18255000.0,-29127000.0,-10872000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,CXB.TO,USD,,2021-12-31,2021-12-31,2021,Q4,14649000.0,14379000.0,717000.0,480000.0,-8104000.0,0.0,-6115000.0,0.0,1065000.0,268000.0,22389000.0,0.0,0.0,0.0,0.0,-16790000.0,-16790000.0,-30000.0,0.0,0.0,0.0,27000.0,-3000.0,-4000.0,5592000.0,78454000.0,72862000.0,22389000.0,-19876000.0,2513000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,CXB.TO,USD,,2021-09-30,2021-09-30,2021,Q3,15021000.0,8920000.0,1627000.0,484000.0,2314000.0,0.0,-3665000.0,0.0,846000.0,-25000.0,28341000.0,0.0,0.0,0.0,0.0,-22130000.0,-22130000.0,-29000.0,0.0,0.0,0.0,423000.0,394000.0,-44000.0,6561000.0,72862000.0,66301000.0,28341000.0,-22140000.0,6201000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,CXB.TO,USD,,2021-06-30,2021-06-30,2021,Q2,11885000.0,7967000.0,3430000.0,1764000.0,3928000.0,0.0,4889000.0,0.0,-820000.0,374000.0,29348000.0,0.0,0.0,0.0,0.0,-23803000.0,-23803000.0,-29000.0,0.0,0.0,0.0,2510000.0,2481000.0,54000.0,8080000.0,66301000.0,58221000.0,29348000.0,-24193000.0,5155000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,CXB.TO,USD,,2021-03-31,2021-03-31,2021,Q1,16645000.0,7166000.0,3197000.0,854000.0,-2509000.0,0.0,178000.0,0.0,412000.0,169000.0,25522000.0,0.0,0.0,0.0,0.0,-20663000.0,-20663000.0,-29000.0,0.0,0.0,0.0,188000.0,159000.0,28000.0,5046000.0,58221000.0,53175000.0,25522000.0,-20666000.0,4856000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,CXB.TO,USD,,2020-12-31,2020-12-31,2020,Q4,23255000.0,5324000.0,958000.0,1230000.0,-3269000.0,0.0,0.0,0.0,0.0,1238000.0,28736000.0,-7306000.0,0.0,0.0,0.0,-9705000.0,-17011000.0,0.0,0.0,0.0,0.0,-14742000.0,-14742000.0,508000.0,-2509000.0,53175000.0,55684000.0,28736000.0,-7306000.0,21430000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,CXB.TO,USD,,2020-09-30,2020-09-30,2020,Q3,32930000.0,4689000.0,2349000.0,1811000.0,2569000.0,0.0,-2149000.0,0.0,-368000.0,1244000.0,45592000.0,-9710000.0,0.0,0.0,0.0,-5714000.0,-15424000.0,0.0,0.0,0.0,0.0,135000.0,135000.0,275000.0,30578000.0,55684000.0,25106000.0,45592000.0,-9710000.0,35882000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,CXB.TO,USD,,2020-06-30,2020-06-30,2020,Q2,-5412000.0,1138000.0,1598000.0,1671000.0,-10705000.0,0.0,-4643000.0,0.0,-6000.0,-1711000.0,-13421000.0,-4506000.0,0.0,0.0,0.0,-739000.0,-5245000.0,0.0,0.0,0.0,0.0,151000.0,151000.0,569000.0,-17946000.0,25106000.0,43052000.0,-13421000.0,-4506000.0,-17927000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,CXB.TO,USD,,2020-03-31,2020-03-31,2020,Q1,12517000.0,3266000.0,2979000.0,1487000.0,-323000.0,0.0,-2401000.0,0.0,315000.0,187000.0,20113000.0,-3350000.0,0.0,0.0,0.0,-5085000.0,-8435000.0,0.0,0.0,0.0,0.0,-29000.0,-29000.0,-1458000.0,10191000.0,43052000.0,32861000.0,20113000.0,-3350000.0,16763000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
