date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,CXB.TO,USD,,2022-06-30,2022-06-30,2022,Q2,111260000.0,83007000.0,28253000.0,0.25393672478878304,0.0,3262000.0,0.0,3262000.0,-911000.0,2351000.0,85358000.0,166000.0,294000.0,13073000.0,39265000.0,0.35291209778896276,26224000.0,0.2357001617832105,-326000.0,25898000.0,0.23277008808197017,10470000.0,15428000.0,0.13866618730900593,0.03,0.03,448735000.0,470116000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,CXB.TO,USD,,2022-03-31,2022-03-31,2022,Q1,99565000.0,68030000.0,31535000.0,0.316727765781148,0.0,9134000.0,0.0,9134000.0,1880000.0,11014000.0,79044000.0,156000.0,284000.0,12506000.0,32666000.0,0.328087179229649,20280000.0,0.20368603424898307,-404000.0,19876000.0,0.19962838346808617,8175000.0,11701000.0,0.11752121729523426,0.03,0.03,444599000.0,462006000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,CXB.TO,USD,,2021-12-31,2021-12-31,2021,Q4,88109000.0,64850000.0,23259000.0,0.263979843148827,0.0,2503000.0,0.0,2503000.0,83000.0,2586000.0,67436000.0,101000.0,201000.0,14379000.0,34709000.0,0.39393251540705265,20673000.0,0.23462983350168543,-544000.0,20129000.0,0.2284556628721243,5480000.0,14649000.0,0.16625997344198662,0.04291477101282844,0.04291477101282844,341351000.0,341351000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,CXB.TO,USD,,2021-09-30,2021-09-30,2021,Q3,79204000.0,52477000.0,26727000.0,0.3374450785313873,0.0,1989000.0,0.0,1989000.0,84000.0,2073000.0,54550000.0,150000.0,204000.0,8920000.0,33379000.0,0.42143073582142315,24654000.0,0.3112721579718196,-399000.0,24255000.0,0.30623453360941366,9234000.0,15021000.0,0.1896495126508762,0.04,0.04,341351000.0,365110000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,CXB.TO,USD,,2021-06-30,2021-06-30,2021,Q2,78785000.0,54481000.0,24304000.0,0.30848511772545534,0.0,3241000.0,0.0,3241000.0,371000.0,3612000.0,58093000.0,132000.0,204000.0,7967000.0,28685000.0,0.3640921495208479,20692000.0,0.2626388271879165,-178000.0,20514000.0,0.2603795138668528,8629000.0,11885000.0,0.1508535888811322,0.04,0.03,337163000.0,365799000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Calibre Mining Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,CXB.TO,USD,,2021-03-31,2021-03-31,2021,Q1,82034000.0,52074000.0,29960000.0,0.365214423287905,0.0,2679000.0,0.0,2791000.0,0.0,2791000.0,54865000.0,109000.0,6000.0,7166000.0,34179000.0,0.41664431820952286,27169000.0,0.3311919448033742,-162000.0,27007000.0,0.3292171538630324,10362000.0,16645000.0,0.20290367408635443,0.05,0.05,334284000.0,364356000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,CXB.TO,USD,,2020-12-31,2020-12-31,2020,Q4,79677000.0,45086000.0,34591000.0,0.4341403416293284,0.0,2674000.0,0.0,2908000.0,0.0,2908000.0,47994000.0,42000.0,7000.0,5324000.0,34550000.0,0.4336257640222398,31683000.0,0.39764298354606725,-2464000.0,29219000.0,0.3667181244273755,5964000.0,23255000.0,0.2918659086059967,0.07055842954017931,0.07055842954017931,329585000.0,329585000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,CXB.TO,USD,,2020-09-30,2020-09-30,2020,Q3,85791000.0,39915000.0,45876000.0,0.5347414064412351,0.0,3593000.0,0.0,3981000.0,0.0,3981000.0,43896000.0,40000.0,17000.0,4689000.0,45823000.0,0.5341236260213775,41895000.0,0.48833793754589644,-778000.0,41117000.0,0.47926938723176093,8187000.0,32930000.0,0.3838397967152732,0.1,0.09,329585000.0,362616000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,CXB.TO,USD,,2020-06-30,2020-06-30,2020,Q2,15910000.0,10117000.0,5793000.0,0.3641106222501571,0.0,3240000.0,0.0,10545000.0,0.0,10545000.0,20662000.0,53000.0,6000.0,1138000.0,-2267000.0,-0.1424890006285355,-4752000.0,-0.29868007542426145,1341000.0,-3411000.0,-0.21439346323067254,2001000.0,-5412000.0,-0.34016341923318666,-0.016492709015831417,-0.015348314861660975,328145000.0,352612000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,CXB.TO,USD,,2020-03-31,2020-03-31,2020,Q1,59363000.0,36403000.0,22960000.0,0.38677290568199046,0.0,3734000.0,0.0,3939000.0,0.0,3939000.0,40342000.0,124000.0,10000.0,3266000.0,22129000.0,0.37277428701379645,19021000.0,0.3204184424641612,-168000.0,18853000.0,0.3175883968128295,6336000.0,12517000.0,0.21085524653403634,0.03815914225003887,0.03641372649413517,328021000.0,343744000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CALIBRE MINING CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
