date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,EXN.TO,USD,,2022-06-30,2022-06-30,2022,Q2,2865000.0,44000.0,2909000.0,2928000.0,1182000.0,2390000.0,9409000.0,24687000.0,0.0,0.0,0.0,0.0,0.0,0.0,24687000.0,0.0,34096000.0,5395000.0,179000.0,1588000.0,0.0,25902000.0,31476000.0,10536000.0,0.0,629000.0,1932000.0,13097000.0,0.0,321000.0,44573000.0,0.0,139767000.0,-168602000.0,-16344000.0,34702000.0,-10477000.0,34096000.0,0.0,-10477000.0,34096000.0,0.0,10715000.0,7850000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,EXN.TO,USD,,2022-03-31,2022-03-31,2022,Q1,3350000.0,173000.0,3523000.0,3545000.0,1920000.0,1630000.0,10618000.0,27518000.0,0.0,0.0,0.0,0.0,0.0,0.0,27518000.0,0.0,38136000.0,5978000.0,184000.0,1527000.0,0.0,25759000.0,31921000.0,10493000.0,0.0,559000.0,1898000.0,12950000.0,0.0,378000.0,44871000.0,0.0,139073000.0,-163865000.0,-16587000.0,34644000.0,-6735000.0,38136000.0,0.0,-6735000.0,38136000.0,0.0,10677000.0,7327000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,EXN.TO,USD,,2021-12-31,2021-12-31,2021,Q4,4071000.0,454000.0,4525000.0,3895000.0,2087000.0,1736000.0,12243000.0,29317000.0,0.0,0.0,0.0,0.0,0.0,0.0,29317000.0,0.0,41560000.0,3990000.0,212000.0,1839000.0,0.0,29949000.0,34151000.0,9471000.0,0.0,612000.0,1813000.0,11896000.0,0.0,445000.0,46047000.0,0.0,138961000.0,-162165000.0,-15851000.0,34568000.0,-4487000.0,41560000.0,0.0,-4487000.0,41560000.0,0.0,9683000.0,5612000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,EXN.TO,USD,,2021-09-30,2021-09-30,2021,Q3,3400000.0,1551000.0,4951000.0,3784000.0,3301000.0,2151000.0,14187000.0,46316000.0,0.0,0.0,0.0,0.0,532000.0,0.0,46848000.0,0.0,61035000.0,4248000.0,244000.0,1357000.0,0.0,27495000.0,31987000.0,9209000.0,0.0,855000.0,2410000.0,12474000.0,0.0,521000.0,44461000.0,0.0,137995000.0,-140719000.0,-15434000.0,34732000.0,16574000.0,61035000.0,0.0,16574000.0,61035000.0,0.0,9453000.0,6053000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,EXN.TO,USD,,2021-06-30,2021-06-30,2021,Q2,5476000.0,1610000.0,7086000.0,6238000.0,3065000.0,2374000.0,18763000.0,47180000.0,0.0,0.0,0.0,0.0,5183000.0,0.0,52363000.0,0.0,71126000.0,9615000.0,315000.0,2265000.0,0.0,2265000.0,12195000.0,8762000.0,0.0,864000.0,2257000.0,11883000.0,0.0,648000.0,24078000.0,0.0,137484000.0,-109859000.0,-15198000.0,34621000.0,47048000.0,71126000.0,0.0,47048000.0,71126000.0,0.0,9077000.0,3601000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,EXN.TO,USD,,2021-03-31,2021-03-31,2021,Q1,6501000.0,1831000.0,8332000.0,6235000.0,2982000.0,1472000.0,19021000.0,45130000.0,0.0,0.0,0.0,0.0,4981000.0,0.0,50111000.0,0.0,69132000.0,6776000.0,353000.0,3208000.0,0.0,3208000.0,10337000.0,8012000.0,0.0,895000.0,2558000.0,11465000.0,0.0,728000.0,21802000.0,0.0,136363000.0,-107314000.0,-16353000.0,34634000.0,47330000.0,69132000.0,0.0,47330000.0,69132000.0,0.0,8365000.0,1864000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,EXN.TO,USD,,2020-12-31,2020-12-31,2020,Q4,8380000.0,2350000.0,10730000.0,7500000.0,2385000.0,1178000.0,21793000.0,46341000.0,0.0,0.0,0.0,0.0,5145000.0,0.0,51486000.0,0.0,73279000.0,8172000.0,405000.0,3415000.0,0.0,3415000.0,11992000.0,7283000.0,0.0,929000.0,2633000.0,10845000.0,0.0,830000.0,22837000.0,0.0,136199000.0,-104392000.0,-15380000.0,34015000.0,50442000.0,73279000.0,0.0,50442000.0,73279000.0,0.0,7688000.0,-692000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,EXN.TO,USD,,2020-09-30,2020-09-30,2020,Q3,7178000.0,2966000.0,10144000.0,7526000.0,2363000.0,925000.0,20958000.0,43424000.0,0.0,0.0,0.0,0.0,8463000.0,-2000.0,51885000.0,0.0,72843000.0,7380000.0,434000.0,2649000.0,0.0,2649000.0,10463000.0,6679000.0,0.0,840000.0,2309000.0,9828000.0,0.0,914000.0,20291000.0,0.0,135516000.0,-98382000.0,-18385000.0,33803000.0,52552000.0,72843000.0,0.0,52552000.0,72843000.0,0.0,7113000.0,-65000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,EXN.TO,USD,,2020-06-30,2020-06-30,2020,Q2,3635000.0,3173000.0,6808000.0,4877000.0,2963000.0,730000.0,15378000.0,42266000.0,0.0,0.0,0.0,0.0,8555000.0,0.0,50821000.0,0.0,66199000.0,8655000.0,6364000.0,2272000.0,0.0,2272000.0,17291000.0,0.0,0.0,1159000.0,2350000.0,3509000.0,0.0,999000.0,20800000.0,0.0,133819000.0,-98143000.0,-19651000.0,29374000.0,45399000.0,66199000.0,0.0,45399000.0,66199000.0,0.0,6943000.0,3308000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,EXN.TO,USD,,2020-03-31,2020-03-31,2020,Q1,8442000.0,1428000.0,9870000.0,5204000.0,2382000.0,1066000.0,18522000.0,22662000.0,0.0,0.0,0.0,0.0,8085000.0,0.0,30747000.0,0.0,49269000.0,8572000.0,6364000.0,2022000.0,0.0,2022000.0,16958000.0,0.0,0.0,946000.0,2489000.0,3435000.0,0.0,1108000.0,20393000.0,0.0,115174000.0,-94744000.0,-20266000.0,28712000.0,28876000.0,49269000.0,0.0,28876000.0,49269000.0,0.0,7021000.0,-1421000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
