date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,EXN.TO,USD,,2022-06-30,2022-06-30,2022,Q2,-4740000.0,0.0,90000.0,72000.0,-33000.0,350000.0,211000.0,-137000.0,0.0,4537000.0,-74000.0,-554000.0,0.0,0.0,89000.0,184000.0,-281000.0,-44000.0,0.0,0.0,0.0,-6000.0,-50000.0,-80000.0,-485000.0,2865000.0,3350000.0,-74000.0,-554000.0,-628000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,EXN.TO,USD,,2022-03-31,2022-03-31,2022,Q1,-1700000.0,0.0,-67000.0,188000.0,-1419000.0,-165000.0,222000.0,-1859000.0,0.0,3490000.0,492000.0,-910000.0,0.0,0.0,228000.0,100000.0,-582000.0,-77000.0,0.0,0.0,0.0,-25000.0,-102000.0,-529000.0,-721000.0,3350000.0,4071000.0,492000.0,-910000.0,-418000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,EXN.TO,USD,,2021-12-31,2021-12-31,2021,Q4,-21446000.0,0.0,165000.0,128000.0,1188000.0,127000.0,391000.0,84000.0,0.0,20914000.0,949000.0,-1421000.0,0.0,0.0,0.0,999000.0,-422000.0,-75000.0,0.0,0.0,0.0,-50000.0,-125000.0,269000.0,671000.0,4071000.0,3400000.0,949000.0,-1421000.0,-472000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,EXN.TO,USD,,2021-09-30,2021-09-30,2021,Q3,-30860000.0,1909000.0,4921000.0,286000.0,497000.0,1252000.0,-318000.0,-813000.0,0.0,23735000.0,488000.0,-2327000.0,0.0,0.0,0.0,0.0,-2327000.0,-110000.0,0.0,0.0,0.0,-10000.0,-120000.0,-117000.0,-2076000.0,3400000.0,5476000.0,488000.0,-2327000.0,-1839000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,EXN.TO,USD,,2021-06-30,2021-06-30,2021,Q2,-2545000.0,1900000.0,22000.0,362000.0,511000.0,-538000.0,-55000.0,2469000.0,0.0,1220000.0,1470000.0,-2630000.0,0.0,0.0,0.0,0.0,-2630000.0,-88000.0,0.0,0.0,0.0,7000.0,-81000.0,216000.0,-1025000.0,5476000.0,6501000.0,1470000.0,-2630000.0,-1160000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,EXN.TO,USD,,2021-03-31,2021-03-31,2021,Q1,-2922000.0,0.0,-31000.0,765000.0,-1744000.0,528000.0,-597000.0,-1890000.0,0.0,3107000.0,-825000.0,-959000.0,0.0,0.0,0.0,75000.0,-884000.0,-123000.0,0.0,0.0,0.0,3000.0,-120000.0,-50000.0,-1879000.0,6501000.0,8380000.0,-825000.0,-959000.0,-1784000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,EXN.TO,USD,,2020-12-31,2020-12-31,2020,Q4,-6008000.0,0.0,4702000.0,302000.0,2778000.0,0.0,0.0,0.0,0.0,3173000.0,4947000.0,-2967000.0,0.0,0.0,0.0,-189000.0,-3156000.0,191000.0,0.0,0.0,0.0,-128000.0,63000.0,-652000.0,1202000.0,8380000.0,7178000.0,4947000.0,-2967000.0,1980000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,EXN.TO,USD,,2020-09-30,2020-09-30,2020,Q3,-240000.0,0.0,-1906000.0,356000.0,-1022000.0,-2467000.0,600000.0,844000.0,0.0,1624000.0,-1188000.0,-1880000.0,0.0,0.0,0.0,0.0,-1880000.0,-6097000.0,0.0,0.0,0.0,13006000.0,6909000.0,-298000.0,3543000.0,7178000.0,3635000.0,-1188000.0,-1880000.0,-3068000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,EXN.TO,USD,,2020-06-30,2020-06-30,2020,Q2,-3400000.0,0.0,-6000.0,1005000.0,430000.0,664000.0,-582000.0,328000.0,0.0,-1917000.0,-3888000.0,-611000.0,51000.0,0.0,0.0,0.0,-560000.0,-17000.0,0.0,0.0,0.0,124000.0,107000.0,-466000.0,-4807000.0,3635000.0,8442000.0,-3888000.0,-611000.0,-4499000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,EXN.TO,USD,,2020-03-31,2020-03-31,2020,Q1,-6372000.0,0.0,845000.0,135000.0,1873000.0,1615000.0,233000.0,5000.0,0.0,3615000.0,96000.0,-3029000.0,0.0,0.0,0.0,0.0,-3029000.0,-437000.0,0.0,0.0,0.0,5871000.0,5434000.0,-403000.0,2098000.0,8442000.0,6344000.0,96000.0,-3029000.0,-2933000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
