date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,EXN.TO,USD,,2022-06-30,2022-06-30,2022,Q2,7781000.0,9260000.0,-1479000.0,-0.19007839609304716,0.0,1097000.0,0.0,1097000.0,991000.0,2088000.0,11348000.0,0.0,1137000.0,3059000.0,-454000.0,-0.058347256136743346,-3567000.0,-0.45842436704793726,-1083000.0,-4650000.0,-0.5976095617529881,90000.0,-4740000.0,-0.6091761984320782,-0.1402604891765064,-0.1402604891765064,33794264.0,33794264.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,EXN.TO,USD,,2022-03-31,2022-03-31,2022,Q1,8496000.0,7913000.0,583000.0,0.06862052730696798,0.0,1244000.0,0.0,1244000.0,1245000.0,2489000.0,10402000.0,0.0,931000.0,2376000.0,1540000.0,0.1812617702448211,-1906000.0,-0.22434086629001884,139000.0,-1767000.0,-0.20798022598870056,-67000.0,-1700000.0,-0.20009416195856874,-0.05,-0.05,33794264.0,33794264.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,EXN.TO,USD,,2021-12-31,2021-12-31,2021,Q4,9306000.0,10602000.0,-1296000.0,-0.13926499032882012,0.0,1257000.0,0.0,1257000.0,-20381000.0,-19124000.0,-8522000.0,299000.0,1088000.0,2015000.0,-18178000.0,-1.9533634214485278,17828000.0,1.9157532774554051,-39109000.0,-21281000.0,-2.2868042123361274,165000.0,-21446000.0,-2.304534708790028,-0.20382831508515814,-0.19929004200275063,105216000.0,107612000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,EXN.TO,USD,,2021-09-30,2021-09-30,2021,Q3,9151000.0,7376000.0,1775000.0,0.1939678723636761,0.0,1246000.0,0.0,1246000.0,24937000.0,26183000.0,33559000.0,1000.0,773000.0,1909000.0,-23257000.0,-2.541470877499727,-24408000.0,-2.6672494809310456,-1531000.0,-25939000.0,-2.834553600699377,4921000.0,-30860000.0,-3.3723090372636872,-0.94,-0.94,32784967.0,32784967.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,EXN.TO,USD,,2021-06-30,2021-06-30,2021,Q2,9717000.0,7587000.0,2130000.0,0.2192034578573634,0.0,1513000.0,0.0,1513000.0,1945000.0,3458000.0,11045000.0,1000.0,1000000.0,1900000.0,377000.0,0.03879798291653803,-1328000.0,-0.13666769579088195,-1195000.0,-2523000.0,-0.25964803951836984,22000.0,-2545000.0,-0.261912112792014,-0.08,-0.08,32400248.0,32400248.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,EXN.TO,USD,,2021-03-31,2021-03-31,2021,Q1,9781000.0,7943000.0,1838000.0,0.18791534607913302,0.0,2216000.0,0.0,3441000.0,0.0,3441000.0,11384000.0,4000.0,678000.0,0.0,-2275000.0,-0.23259380431448728,-1603000.0,-0.16388917288620797,-1350000.0,-2953000.0,-0.30191186995194763,-31000.0,-2922000.0,-0.2987424598711788,-0.09,-0.09,32371125.0,32371125.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,EXN.TO,USD,,2020-12-31,2020-12-31,2020,Q4,9029000.0,7431000.0,1598000.0,0.1769852696865655,0.0,1886000.0,0.0,3286000.0,0.0,3286000.0,10717000.0,6000.0,874000.0,0.0,-431000.0,-0.0477350758666519,-1688000.0,-0.18695315095802414,383000.0,-1305000.0,-0.1445342784361502,4703000.0,-6008000.0,-0.6654114519880385,-0.19,-0.19,31621053.0,31621053.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,EXN.TO,USD,,2020-09-30,2020-09-30,2020,Q3,9667000.0,7144000.0,2523000.0,0.2609910003103341,0.0,1376000.0,0.0,3521000.0,0.0,3521000.0,10665000.0,10000.0,620000.0,0.0,-1396000.0,-0.14440881348919002,-998000.0,-0.10323781938553843,-1018000.0,-2016000.0,-0.20854453294713976,-1776000.0,-240000.0,-0.02482673011275473,-0.008,-0.008,29029958.0,29029958.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,EXN.TO,USD,,2020-06-30,2020-06-30,2020,Q2,891000.0,3307000.0,-2416000.0,-2.7115600448933783,0.0,2294000.0,0.0,2621000.0,0.0,2621000.0,5928000.0,15000.0,246000.0,0.0,-3251000.0,-3.648709315375982,-5037000.0,-5.653198653198653,1540000.0,-3497000.0,-3.924803591470258,-97000.0,-3400000.0,-3.8159371492704826,-0.1,-0.1,29029958.0,29029958.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,EXN.TO,USD,,2020-03-31,2020-03-31,2020,Q1,6615000.0,6748000.0,-133000.0,-0.020105820105820106,0.0,1082000.0,0.0,1549000.0,0.0,1549000.0,8297000.0,16000.0,241000.0,0.0,-5178000.0,-0.7827664399092971,-1682000.0,-0.25427059712774,-3737000.0,-5419000.0,-0.819198790627362,953000.0,-6372000.0,-0.963265306122449,-0.3,-0.3,22501763.0,22501763.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Excellon Resources Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
