date,close
2022-10-03,0.49
2022-09-30,0.475
2022-09-29,0.47
2022-09-28,0.47
2022-09-27,0.43
2022-09-26,0.435
2022-09-23,0.44
2022-09-22,0.465
2022-09-21,0.48
2022-09-20,0.45
2022-09-19,0.435
2022-09-16,0.48
2022-09-15,0.54
2022-09-14,0.53
2022-09-13,0.5
2022-09-12,0.52
2022-09-09,0.56
2022-09-08,0.55
2022-09-07,0.51
2022-09-06,0.52
2022-09-02,0.52
2022-09-01,0.52
2022-08-31,0.53
2022-08-30,0.53
2022-08-29,0.51
2022-08-26,0.54
2022-08-25,0.53
2022-08-24,0.5
2022-08-23,0.51
2022-08-22,0.495
2022-08-19,0.48
2022-08-18,0.51
2022-08-17,0.57
2022-08-16,0.59
2022-08-15,0.63
2022-08-12,0.58
2022-08-11,0.58
2022-08-10,0.54
2022-08-09,0.55
2022-08-08,0.54
2022-08-05,0.55
2022-08-04,0.6
2022-08-03,0.57
2022-08-02,0.54
2022-07-29,0.48
2022-07-28,0.47
2022-07-27,0.48
2022-07-26,0.475
2022-07-25,0.485
2022-07-22,0.485
2022-07-21,0.485
2022-07-20,0.51
2022-07-19,0.54
2022-07-18,0.53
2022-07-15,0.475
2022-07-14,0.495
2022-07-13,0.55
2022-07-12,0.54
2022-07-11,0.56
2022-07-08,0.57
2022-07-07,0.53
2022-07-06,0.54
2022-07-05,0.54
2022-07-04,0.58
2022-06-30,0.6
2022-06-29,0.64
2022-06-28,0.62
2022-06-27,0.61
2022-06-24,0.6
2022-06-23,0.57
2022-06-22,0.65
2022-06-21,0.63
2022-06-20,0.63
2022-06-17,0.66
2022-06-16,0.66
2022-06-15,0.65
2022-06-14,0.65
2022-06-13,0.7
2022-06-10,0.7
2022-06-09,0.68
2022-06-08,0.7
2022-06-07,0.67
2022-06-06,0.69
2022-06-03,0.73
2022-06-02,0.77
2022-06-01,0.74
2022-05-31,0.7
2022-05-30,0.64
2022-05-27,0.69
2022-05-26,0.67
2022-05-25,0.65
2022-05-24,0.67
2022-05-20,0.66
2022-05-19,0.75
2022-05-18,0.73
2022-05-17,0.76
2022-05-16,0.77
2022-05-13,0.74
2022-05-12,0.7
2022-05-11,0.74
2022-05-10,0.7
2022-05-09,0.72
2022-05-06,0.79
2022-05-05,0.82
2022-05-04,0.85
2022-05-03,0.91
2022-05-02,0.85
2022-04-29,0.91
2022-04-28,0.91
2022-04-27,0.91
2022-04-26,0.94
2022-04-25,0.93
2022-04-22,1.0
2022-04-21,1.01
2022-04-20,1.06
2022-04-19,1.07
2022-04-18,1.13
2022-04-14,1.12
2022-04-13,1.2
2022-04-12,1.08
2022-04-11,1.05
2022-04-08,1.06
2022-04-07,1.03
