date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,FR.TO,USD,,2022-06-30,2022-06-30,2022,Q2,117721000.0,15953000.0,133674000.0,37112000.0,66612000.0,98859000.0,336257000.0,1549571000.0,0.0,0.0,0.0,0.0,33131000.0,115796000.0,1698498000.0,0.0,2034755000.0,71360000.0,12998000.0,7738000.0,5867000.0,46206000.0,136431000.0,212869000.0,0.0,135292000.0,185897000.0,534058000.0,0.0,39868000.0,670489000.0,0.0,1696259000.0,-428152000.0,96159000.0,0.0,1364266000.0,2034755000.0,0.0,1364266000.0,2034755000.0,0.0,225867000.0,108146000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,FR.TO,USD,,2022-03-31,2022-03-31,2022,Q1,192801000.0,28079000.0,220880000.0,42488000.0,65368000.0,22349000.0,351085000.0,1541218000.0,0.0,0.0,0.0,0.0,88206000.0,152909000.0,1782333000.0,0.0,2133418000.0,71033000.0,12147000.0,10694000.0,9521000.0,63967000.0,156668000.0,209980000.0,0.0,141744000.0,187031000.0,538755000.0,0.0,38568000.0,695423000.0,0.0,1677077000.0,-342524000.0,103442000.0,0.0,1437995000.0,2133418000.0,0.0,1437995000.0,2133418000.0,0.0,222127000.0,29326000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,FR.TO,USD,,2021-12-31,2021-12-31,2021,Q4,237926000.0,26486000.0,264412000.0,54260000.0,60613000.0,17922000.0,397207000.0,1526992000.0,0.0,0.0,0.0,0.0,74257000.0,126533000.0,1727782000.0,0.0,2124989000.0,72448000.0,11950000.0,27980000.0,12226000.0,76198000.0,172822000.0,209144000.0,0.0,150836000.0,181216000.0,541196000.0,0.0,39861000.0,714018000.0,0.0,1659781000.0,-347753000.0,98943000.0,0.0,1410971000.0,2124989000.0,0.0,1410971000.0,2124989000.0,0.0,221094000.0,-16832000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,FR.TO,USD,,2021-09-30,2021-09-30,2021,Q3,192810000.0,23482000.0,216292000.0,62918000.0,71760000.0,49153000.0,400123000.0,1504069000.0,0.0,0.0,0.0,0.0,69088000.0,78208000.0,1651365000.0,0.0,2051488000.0,71156000.0,11198000.0,9326000.0,4391000.0,50901000.0,137646000.0,212316000.0,0.0,122866000.0,186255000.0,521437000.0,0.0,36741000.0,659083000.0,0.0,1620423000.0,-342519000.0,114501000.0,0.0,1392405000.0,2051488000.0,0.0,1392405000.0,2051488000.0,0.0,223514000.0,30704000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,FR.TO,USD,,2021-06-30,2021-06-30,2021,Q2,227109000.0,37818000.0,264927000.0,85432000.0,52223000.0,6660000.0,409242000.0,1477479000.0,0.0,0.0,0.0,0.0,67218000.0,78391000.0,1623088000.0,0.0,2032330000.0,66194000.0,10926000.0,7683000.0,8544000.0,47303000.0,132967000.0,181679000.0,0.0,130094000.0,187954000.0,499727000.0,0.0,36840000.0,632694000.0,0.0,1602144000.0,-322578000.0,120070000.0,0.0,1399636000.0,2032330000.0,0.0,1399636000.0,2032330000.0,0.0,192605000.0,-34504000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,FR.TO,USD,,2021-03-31,2021-03-31,2021,Q1,201684000.0,28889000.0,230573000.0,52036000.0,36079000.0,11050000.0,329738000.0,808561000.0,0.0,0.0,0.0,0.0,68014000.0,28385000.0,904960000.0,0.0,1234698000.0,18523000.0,15344000.0,5741000.0,2025000.0,61011000.0,96903000.0,143314000.0,0.0,43505000.0,91829000.0,278648000.0,0.0,19216000.0,375551000.0,0.0,1097140000.0,-337045000.0,99052000.0,0.0,859147000.0,1234698000.0,0.0,859147000.0,1234698000.0,0.0,158658000.0,-43026000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,FR.TO,USD,,2020-12-31,2020-12-31,2020,Q4,238578000.0,36320000.0,274898000.0,45912000.0,32512000.0,2724000.0,356046000.0,782279000.0,0.0,0.0,0.0,0.0,69644000.0,29547000.0,881470000.0,0.0,1237516000.0,31262000.0,16332000.0,6574000.0,2717000.0,51315000.0,101626000.0,141733000.0,0.0,48729000.0,95193000.0,285655000.0,0.0,20575000.0,387281000.0,0.0,1087139000.0,-338900000.0,101997000.0,0.0,850236000.0,1237517000.0,-1000.0,850235000.0,1237516000.0,0.0,158065000.0,-80513000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,FR.TO,USD,,2020-09-30,2020-09-30,2020,Q3,232436000.0,33620000.0,266056000.0,44099000.0,30520000.0,3467000.0,344142000.0,740419000.0,0.0,0.0,0.0,0.0,81465000.0,23199000.0,845083000.0,0.0,1189225000.0,16434000.0,15638000.0,2743000.0,3378000.0,42012000.0,77462000.0,140145000.0,0.0,111477000.0,53940000.0,305562000.0,0.0,19154000.0,383024000.0,0.0,1081110000.0,-373445000.0,98536000.0,0.0,806201000.0,1189225000.0,0.0,806201000.0,1189225000.0,0.0,155783000.0,-76653000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,FR.TO,USD,,2020-06-30,2020-06-30,2020,Q2,95230000.0,16659000.0,111889000.0,33217000.0,43539000.0,4249000.0,192894000.0,720632000.0,0.0,0.0,0.0,0.0,84070000.0,22241000.0,826943000.0,0.0,1019837000.0,12291000.0,16574000.0,0.0,19000.0,49766000.0,78650000.0,138580000.0,0.0,104514000.0,53087000.0,296181000.0,0.0,20396000.0,374831000.0,0.0,950582000.0,-404391000.0,98815000.0,0.0,645006000.0,1019837000.0,0.0,645006000.0,1019837000.0,0.0,155154000.0,59924000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,FR.TO,USD,,2020-03-31,2020-03-31,2020,Q1,145187000.0,6910000.0,152097000.0,32142000.0,33414000.0,6365000.0,224018000.0,714982000.0,0.0,0.0,0.0,0.0,84502000.0,17955000.0,817439000.0,0.0,1041457000.0,23981000.0,6766000.0,520000.0,257000.0,53188000.0,84192000.0,146305000.0,0.0,113021000.0,51899000.0,311225000.0,0.0,21411000.0,395417000.0,0.0,949142000.0,-394423000.0,91321000.0,0.0,646040000.0,1041457000.0,0.0,646040000.0,1041457000.0,0.0,153071000.0,7884000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
