date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,FR.TO,USD,,2022-06-30,2022-06-30,2022,Q2,-84050000.0,0.0,78712000.0,2986000.0,-17426000.0,3783000.0,-1576000.0,-20441000.0,2333000.0,6525000.0,-13253000.0,-18148000.0,0.0,0.0,0.0,-48901000.0,-67049000.0,-2978000.0,17341000.0,0.0,-3634000.0,672000.0,11401000.0,-1508000.0,-75080000.0,117721000.0,192801000.0,-13253000.0,-67467000.0,-80720000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,FR.TO,USD,,2022-03-31,2022-03-31,2022,Q1,7285000.0,0.0,-11734000.0,4822000.0,-26839000.0,-2649000.0,-2377000.0,-8291000.0,-16367000.0,7482000.0,-18984000.0,-6296000.0,0.0,0.0,0.0,-33483000.0,-39779000.0,-3020000.0,13239000.0,0.0,0.0,1933000.0,12152000.0,1486000.0,-45125000.0,192801000.0,237926000.0,-18984000.0,-38324000.0,-57308000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,FR.TO,USD,,2021-12-31,2021-12-31,2021,Q4,-3971000.0,0.0,23899000.0,2859000.0,22484000.0,-2252000.0,6662000.0,22292000.0,-16849000.0,44541000.0,89812000.0,-22842000.0,-23000.0,0.0,0.0,-36874000.0,-59739000.0,-214868000.0,0.0,0.0,-1263000.0,230795000.0,14664000.0,379000.0,45116000.0,237926000.0,192810000.0,89812000.0,-57531000.0,32281000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,FR.TO,USD,,2021-09-30,2021-09-30,2021,Q3,-18406000.0,29528000.0,-1395000.0,3069000.0,-19210000.0,3449000.0,-15203000.0,-5875000.0,-31161000.0,-5574000.0,-11988000.0,-15757000.0,-127000.0,0.0,0.0,-45556000.0,-61440000.0,-2734000.0,17606000.0,-42000.0,-1535000.0,28616000.0,41911000.0,-2782000.0,-34299000.0,192810000.0,227109000.0,-11988000.0,-46048000.0,-58036000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,FR.TO,USD,,2021-06-30,2021-06-30,2021,Q2,15599000.0,29275000.0,957000.0,2768000.0,-21012000.0,-5074000.0,2741000.0,1105000.0,0.0,-44119000.0,-16532000.0,-7153000.0,-798000.0,0.0,0.0,-5359000.0,-13310000.0,-2198000.0,49068000.0,0.0,-1132000.0,8228000.0,53966000.0,1301000.0,25425000.0,227109000.0,201684000.0,-16532000.0,-41166000.0,-57698000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,FR.TO,USD,,2021-03-31,2021-03-31,2021,Q1,1855000.0,460000.0,6712000.0,3594000.0,-13766000.0,491000.0,-3156000.0,-942000.0,0.0,8576000.0,7431000.0,-10806000.0,0.0,0.0,250000.0,-35708000.0,-46264000.0,-1328000.0,0.0,0.0,0.0,2604000.0,1276000.0,663000.0,-36894000.0,201684000.0,238578000.0,7431000.0,-44222000.0,-36791000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,FR.TO,USD,,2020-12-31,2020-12-31,2020,Q4,34545000.0,478000.0,-7072000.0,2227000.0,-5014000.0,0.0,0.0,0.0,0.0,18046000.0,43210000.0,-33581000.0,0.0,0.0,0.0,-7759000.0,-41340000.0,-12455000.0,-34000.0,0.0,0.0,13604000.0,1115000.0,3157000.0,6142000.0,238578000.0,232436000.0,43210000.0,-33581000.0,9629000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,FR.TO,USD,,2020-09-30,2020-09-30,2020,Q3,30946000.0,475000.0,13393000.0,1703000.0,3565000.0,0.0,0.0,0.0,0.0,4921000.0,55003000.0,-32587000.0,0.0,0.0,0.0,-935000.0,-33522000.0,-1803000.0,112374000.0,0.0,0.0,5601000.0,116172000.0,-447000.0,137206000.0,232436000.0,95230000.0,55003000.0,-32587000.0,22416000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,FR.TO,USD,,2020-06-30,2020-06-30,2020,Q2,-9968000.0,469000.0,-5459000.0,1947000.0,-10619000.0,2038000.0,-9379000.0,-1908000.0,0.0,-6918000.0,-30548000.0,-16534000.0,0.0,-773000.0,2472000.0,-4112000.0,-18947000.0,-1638000.0,0.0,0.0,0.0,721000.0,-917000.0,455000.0,-49957000.0,95230000.0,145187000.0,-30548000.0,-16534000.0,-47082000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,FR.TO,USD,,2020-03-31,2020-03-31,2020,Q1,-32436000.0,456000.0,5780000.0,2378000.0,-10763000.0,751000.0,-1700000.0,-6115000.0,0.0,46633000.0,12048000.0,-31788000.0,0.0,0.0,0.0,-1518000.0,-33306000.0,-11779000.0,13792000.0,-1694000.0,0.0,-115000.0,204000.0,-2768000.0,-23822000.0,145187000.0,169009000.0,12048000.0,-31788000.0,-19740000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-12-31,FR.TO,USD,,2019-12-31,2019-12-31,2019,Q4,-39946000.0,414000.0,-9330000.0,1907000.0,19384000.0,2627000.0,-252000.0,10031000.0,0.0,79021000.0,51450000.0,-32057000.0,0.0,0.0,248000.0,479000.0,-31330000.0,-1884000.0,28814000.0,0.0,0.0,2667000.0,29597000.0,668000.0,50385000.0,169009000.0,118624000.0,51450000.0,-32057000.0,19393000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-09-30,FR.TO,USD,,2019-09-30,2019-09-30,2019,Q3,8559000.0,311000.0,7393000.0,2326000.0,6063000.0,821000.0,-74000.0,-3583000.0,0.0,15650000.0,40302000.0,-30016000.0,0.0,0.0,2155000.0,-578000.0,-28439000.0,-1281000.0,4616000.0,0.0,0.0,9180000.0,12515000.0,-293000.0,24085000.0,118624000.0,94539000.0,40302000.0,-30016000.0,10286000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
