date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,FR.TO,USD,,2022-06-30,2022-06-30,2022,Q2,160099000.0,148487000.0,11612000.0,0.07253012198702054,0.0,11955000.0,0.0,11955000.0,4351000.0,16306000.0,164793000.0,0.0,3628000.0,34623000.0,32913000.0,0.20557904796407223,3415000.0,0.021330551721122554,-8753000.0,-5338000.0,-0.03334186971811192,78712000.0,-84050000.0,-0.5249876638829725,-0.32,-0.32,262680950.0,262680950.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,FR.TO,USD,,2022-03-31,2022-03-31,2022,Q1,157483000.0,142414000.0,15069000.0,0.09568651854485881,0.0,14703000.0,0.0,14703000.0,5072000.0,19775000.0,162189000.0,290000.0,2917000.0,30957000.0,29425000.0,0.18684556428312898,-2491000.0,-0.01581758031025571,-1958000.0,-4449000.0,-0.02825066832610504,-11734000.0,7285000.0,0.0462589612847101,0.03,0.03,260199875.0,262590216.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,FR.TO,USD,,2021-12-31,2021-12-31,2021,Q4,206055000.0,165693000.0,40362000.0,0.19587974084589066,0.0,9450000.0,0.0,9450000.0,3834000.0,13284000.0,178977000.0,380000.0,3326000.0,43675000.0,66929000.0,0.3248113367790153,27078000.0,0.13141151634272402,-7150000.0,19928000.0,0.09671204290116717,23899000.0,-3971000.0,-0.019271553711387737,-0.015489708902263366,-0.015489708902263366,256363759.0,256363759.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,FR.TO,USD,,2021-09-30,2021-09-30,2021,Q3,125120000.0,121602000.0,3518000.0,0.02811700767263427,0.0,8876000.0,0.0,8876000.0,4459000.0,13335000.0,134937000.0,306000.0,3146000.0,29528000.0,12873000.0,0.10288523017902813,-9817000.0,-0.07846067774936061,-9984000.0,-19801000.0,-0.15825607416879794,-1395000.0,-18406000.0,-0.14710677749360615,-0.07,-0.07,256363759.0,256363759.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,FR.TO,USD,,2021-06-30,2021-06-30,2021,Q2,154860000.0,125437000.0,29423000.0,0.18999741702182615,0.0,9262000.0,0.0,9262000.0,3693000.0,12955000.0,138392000.0,169000.0,3041000.0,29275000.0,48872000.0,0.3155882732790908,16468000.0,0.10634121141676353,88000.0,16556000.0,0.10690946661500711,957000.0,15599000.0,0.10072969133410822,0.06,0.06,242781479.0,245837994.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,FR.TO,USD,,2021-03-31,2021-03-31,2021,Q1,101190000.0,73074000.0,28116000.0,0.2778535428402016,0.0,10095000.0,0.0,15063000.0,0.0,15063000.0,88137000.0,0.0,2821000.0,460000.0,11848000.0,0.11708666864314655,13053000.0,0.12899495997628224,-4486000.0,8567000.0,0.0846625160588991,6712000.0,1855000.0,0.018331850973416344,0.01,0.01,222544712.0,225772720.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,FR.TO,USD,,2020-12-31,2020-12-31,2020,Q4,117894000.0,74226000.0,43668000.0,0.37040052928902234,0.0,8954000.0,0.0,17071000.0,0.0,17071000.0,91297000.0,112000.0,3021000.0,478000.0,30972000.0,0.2627105705124943,26597000.0,0.22560096357745094,876000.0,27473000.0,0.23303136716033046,-7072000.0,34545000.0,0.29301745635910226,0.16073492221979185,0.16073492221979185,214919070.0,214919070.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,FR.TO,USD,,2020-09-30,2020-09-30,2020,Q3,126832000.0,78799000.0,48033000.0,0.3787135738614861,0.0,6748000.0,0.0,11978000.0,0.0,11978000.0,90777000.0,244000.0,3022000.0,475000.0,47836000.0,0.37716033808502586,36055000.0,0.2842736848744796,8284000.0,44339000.0,0.3495884319414659,13393000.0,30946000.0,0.24399205247886968,0.14398908389097348,0.13236406645372473,214919070.0,233794570.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,FR.TO,USD,,2020-06-30,2020-06-30,2020,Q2,34855000.0,42617000.0,-7762000.0,-0.22269401807488165,0.0,7324000.0,0.0,13942000.0,0.0,13942000.0,56559000.0,181000.0,2986000.0,469000.0,-11972000.0,-0.34348013197532634,-21704000.0,-0.6226940180748817,6277000.0,-15427000.0,-0.4426050781810357,-5459000.0,-9968000.0,-0.2859847941471812,-0.05,-0.05,209645317.0,209645317.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,FR.TO,USD,,2020-03-31,2020-03-31,2020,Q1,86790000.0,65675000.0,21115000.0,0.2432883972807927,0.0,8206000.0,0.0,14064000.0,0.0,14064000.0,79739000.0,538000.0,3043000.0,456000.0,-23157000.0,-0.2668164535084687,7051000.0,0.08124207858048162,-33707000.0,-26656000.0,-0.3071321580827284,5780000.0,-32436000.0,-0.37372969236087106,-0.15,-0.15,209396052.0,209396052.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
