date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,KRR.TO,CAD,,2022-06-30,2022-06-30,2022,Q2,114094000.0,2022000.0,116116000.0,3798000.0,33135000.0,1326000.0,154375000.0,322303000,0.0,0.0,0.0,0.0,211000.0,20000.0,322534000,0.0,476909000,3483000.0,34803000.0,0.0,0.0,40462000.0,78748000.0,4352000.0,0.0,27099000.0,50076000.0,81527000.0,0.0,7826000.0,160275000.0,0.0,380424000.0,-96347000,-1009000.0,33566000.0,316634000.0,476909000,0,316634000.0,476909000,0.0,39155000.0,-74939000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,KRR.TO,CAD,,2022-03-31,2022-03-31,2022,Q1,78100000.0,2903000.0,81003000.0,7267000.0,36505000.0,1826000.0,126601000.0,315074000,0.0,0.0,0.0,0.0,204000.0,20000.0,315298000,0.0,441899000,18967000.0,6830000.0,282000.0,0.0,46998000.0,72795000.0,35094000.0,0.0,27124000.0,52469000.0,114687000.0,0.0,9180000.0,187482000.0,0.0,314735000.0,-96019000,3503000.0,32198000.0,254417000.0,441899000,0,254417000.0,441899000,0.0,41924000.0,-36176000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,KRR.TO,CAD,,2021-12-31,2021-12-31,2021,Q4,91005000.0,3549000.0,94554000.0,5673000.0,32878000.0,2321000.0,135426000.0,300680000,0.0,0.0,0.0,0.0,207000.0,20000.0,300907000,0.0,436333000,18683000.0,6409000.0,254000.0,0.0,45887000.0,70979000.0,35227000.0,0.0,25135000.0,53627000.0,113989000.0,0.0,8979000.0,184968000.0,0.0,310143000.0,-92310000,2009000.0,31523000.0,251365000.0,436333000,0,251365000.0,436333000,0.0,41636000.0,-49369000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,KRR.TO,CAD,,2021-09-30,2021-09-30,2021,Q3,86719000.0,4094000.0,90813000.0,4921000.0,27436000.0,480000.0,123650000.0,274292000,0.0,0.0,0.0,0.0,0.0,20000.0,274312000,0.0,397962000,4826000.0,5638000.0,31000.0,0.0,40401000.0,50865000.0,33920000.0,0.0,21639000.0,50909000.0,106468000.0,0.0,5659000.0,157333000.0,0.0,306483000.0,-98422000,1657000.0,30911000.0,240629000.0,397962000,0,240629000.0,397962000,0.0,39558000.0,-47161000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,KRR.TO,CAD,,2021-06-30,2021-06-30,2021,Q2,82160000.0,3954000.0,86114000.0,4199000.0,23119000.0,1144000.0,114576000.0,249643000,0.0,0.0,0.0,0.0,0.0,20000.0,249663000,0.0,364239000,8583000.0,5554000.0,34000.0,0.0,35689000.0,49826000.0,34476000.0,0.0,16282000.0,44587000.0,95345000.0,0.0,6457000.0,145171000.0,0.0,292244000.0,-108686000,2682000.0,32828000.0,219068000.0,364239000,0,219068000.0,364239000,0.0,40030000.0,-42130000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,KRR.TO,CAD,,2021-03-31,2021-03-31,2021,Q1,76747000.0,4811000.0,81558000.0,4926000.0,21350000.0,1950000.0,109784000.0,237808000,0.0,0.0,0.0,0.0,0.0,20000.0,237828000,0.0,347612000,11905000.0,4615000.0,62000.0,0.0,30049000.0,46569000.0,34105000.0,0.0,11924000.0,42188000.0,88217000.0,0.0,3709000.0,134786000.0,0.0,290092000.0,-114077000,4400000.0,32411000.0,212826000.0,347612000,0,212826000.0,347612000,0.0,38720000.0,-38027000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,KRR.TO,CAD,,2020-12-31,2020-12-31,2020,Q4,79695000.0,3154000.0,82849000.0,4260000.0,20752000.0,1996000.0,109857000.0,239044000,0.0,0.0,0.0,0.0,0.0,1198000.0,240242000,0.0,350099000,6056000.0,4727000.0,41000.0,0.0,42239000.0,53022000.0,34223000.0,0.0,7534000.0,48116000.0,89873000.0,0.0,3863000.0,142895000.0,0.0,289483000.0,-119481000,5789000.0,31413000.0,207204000.0,350099000,0,207204000.0,350099000,0.0,38950000.0,-40745000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,KRR.TO,CAD,,2020-09-30,2020-09-30,2020,Q3,67299000.0,2374000.0,69673000.0,2943000.0,18901000.0,387000.0,91904000.0,223046000,0.0,0.0,0.0,0.0,0.0,899000.0,223945000,0.0,315849000,4776000.0,5108000.0,30000.0,0.0,38281000.0,48165000.0,38105000.0,0.0,23612000.0,48758000.0,110475000.0,0.0,4274000.0,158640000.0,0.0,284505000.0,-162285000,4243000.0,30746000.0,157209000.0,315849000,0,157209000.0,315849000,0.0,43213000.0,-24086000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,KRR.TO,CAD,,2020-06-30,2020-06-30,2020,Q2,50167000.0,146000.0,50313000.0,2642000.0,16718000.0,11609000.0,81282000.0,147831000,0.0,0.0,0.0,2565000.0,0.0,21000.0,150417000,0.0,231699000,4090000.0,4590000.0,1931000.0,0.0,28843000.0,37523000.0,37535000.0,0.0,5702000.0,47392000.0,90629000.0,0.0,3303000.0,128152000.0,0.0,265444000.0,-197152000,5019000.0,30236000.0,103547000.0,231699000,0,103547000.0,231699000,2711000.0,42125000.0,-8042000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,KRR.TO,CAD,,2020-03-31,2020-03-31,2020,Q1,38407000.0,124000.0,38531000.0,6773000.0,13332000.0,1372000.0,60008000.0,99566000,0.0,0.0,0.0,19279000.0,237000.0,21000.0,119103000,0.0,179111000,5174000.0,1703000.0,677000.0,0.0,22439000.0,29316000.0,31760000.0,0.0,0.0,21624000.0,53384000.0,0.0,2359000.0,82700000.0,0.0,263642000.0,-206970000,9023000.0,30716000.0,96411000.0,179111000,0,96411000.0,179111000,19403000.0,33463000.0,-4944000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
