date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,KRR.TO,CAD,,2022-06-30,2022-06-30,2022,Q2,-328000.0,13697000.0,1381000.0,-3836000.0,-9988000.0,0.0,1690000.0,0.0,0.0,10316000.0,11242000.0,-35084000.0,0.0,0.0,0.0,349000.0,-34735000.0,-2730000.0,69000000.0,0.0,0.0,-4928000.0,61342000.0,-1855000.0,35994000.0,114094000.0,78100000.0,11242000.0,-35084000.0,-23842000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,KRR.TO,CAD,,2022-03-31,2022-03-31,2022,Q1,-3709000.0,8817000.0,1556000.0,5768000.0,296000.0,0.0,-1542000.0,0.0,0.0,-578000.0,12150000.0,-24784000.0,0.0,0.0,0.0,45000.0,-24739000.0,-1070000.0,0.0,0.0,0.0,53000.0,-1017000.0,701000.0,-12905000.0,78100000.0,91005000.0,12150000.0,-24784000.0,-12634000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,KRR.TO,CAD,,2021-12-31,2021-12-31,2021,Q4,6112000.0,8150000.0,3411000.0,3952000.0,8247000.0,0.0,-4071000.0,0.0,0.0,3643000.0,33515000.0,-25791000.0,0.0,0.0,0.0,34000.0,-25757000.0,-2487000.0,0.0,0.0,0.0,-1179000.0,-3666000.0,194000.0,4286000.0,91005000.0,86719000.0,33515000.0,-25791000.0,7724000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,KRR.TO,CAD,,2021-09-30,2021-09-30,2021,Q3,10340000.0,6508000.0,5665000.0,856000.0,63000.0,0.0,-6518000.0,0.0,0.0,4484000.0,27916000.0,-31050000.0,0.0,0.0,0.0,31000.0,-31019000.0,-790000.0,0.0,-201000.0,0.0,9331000.0,8340000.0,-678000.0,4559000.0,86719000.0,82160000.0,27916000.0,-31050000.0,-3134000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,KRR.TO,CAD,,2021-06-30,2021-06-30,2021,Q2,5391000.0,7770000.0,4809000.0,2308000.0,-3720000.0,0.0,-2067000.0,0.0,0.0,9759000.0,26317000.0,-16982000.0,0.0,0.0,0.0,33000.0,-16949000.0,-2397000.0,0.0,0.0,0.0,-127000.0,-2524000.0,-1431000.0,5413000.0,82160000.0,76747000.0,26317000.0,-16982000.0,9335000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,KRR.TO,CAD,,2021-03-31,2021-03-31,2021,Q1,5624000.0,7322000.0,4712000.0,1142000.0,-2340000.0,0.0,-716000.0,0.0,0.0,2198000.0,18658000.0,-18193000.0,0.0,-119000.0,0.0,36000.0,-18276000.0,-492000.0,0.0,-613000.0,0.0,-986000.0,-2091000.0,-1239000.0,-2948000.0,76747000.0,79695000.0,18658000.0,-18193000.0,465000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,KRR.TO,CAD,,2020-12-31,2020-12-31,2020,Q4,42906000.0,9926000.0,-16107000.0,1310000.0,5507000.0,0.0,-1437000.0,0.0,0.0,-6535000.0,37007000.0,-19985000.0,8846000.0,0.0,0.0,-11715000.0,-22854000.0,-4509000.0,0.0,0.0,0.0,831000.0,-3678000.0,1921000.0,12396000.0,79695000.0,67299000.0,37007000.0,-19985000.0,17022000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,KRR.TO,CAD,,2020-09-30,2020-09-30,2020,Q3,34867000.0,4581000.0,15341000.0,6351000.0,-1884000.0,0.0,-100000.0,0.0,0.0,-38429000.0,20827000.0,-8095000.0,-3818000.0,0.0,1013000.0,-9720000.0,-20620000.0,-582000.0,17730000.0,0.0,0.0,628000.0,17776000.0,-851000.0,17132000.0,67299000.0,50167000.0,20827000.0,-8095000.0,12732000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,KRR.TO,CAD,,2020-06-30,2020-06-30,2020,Q2,9818000.0,5335000.0,7424000.0,1936000.0,3405000.0,0.0,-2529000.0,0.0,0.0,-6096000.0,21822000.0,-10523000.0,0.0,0.0,0.0,0.0,-10523000.0,-450000.0,0.0,0.0,0.0,1110000.0,660000.0,-199000.0,11760000.0,50167000.0,38407000.0,21822000.0,-10523000.0,11299000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,KRR.TO,CAD,,2020-03-31,2020-03-31,2020,Q1,539000.0,4135000.0,345000.0,-223000.0,-1122000.0,0.0,2072000.0,0.0,0.0,7802000.0,11476000.0,-7702000.0,0.0,0.0,0.0,0.0,-7702000.0,-259000.0,0.0,0.0,0.0,120000.0,-139000.0,116000.0,3751000.0,38407000.0,34656000.0,11476000.0,-7702000.0,3774000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
