date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,KRR.TO,CAD,,2022-06-30,2022-06-30,2022,Q2,73609000.0,57968000.0,15641000.0,0.21248760341806028,0.0,4073000.0,0.0,4073000.0,0.0,4073000.0,62041000.0,84000.0,1154000.0,13697000.0,15904000.0,0.2160605360757516,11568000.0,0.15715469575731228,-10515000.0,1053000.0,0.014305315926041652,1381000.0,-328000.0,-0.004455976850656849,-0.002078,-0.002078,157838797,157838797,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,KRR.TO,CAD,,2022-03-31,2022-03-31,2022,Q1,65272000.0,54824000.0,10448000.0,0.16006863586223802,0.0,12767000.0,0.0,12767000.0,0.0,12767000.0,67591000.0,45000.0,1090000.0,8817000.0,7754000.0,0.11879519548964333,-2319000.0,-0.035528251011153325,166000.0,-2153000.0,-0.03298504718715529,1556000.0,-3709000.0,-0.05682375291089594,-0.02,-0.02,154440916,154440916,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,KRR.TO,CAD,,2021-12-31,2021-12-31,2021,Q4,66972000.0,44030000.0,22942000.0,0.342561070298035,0.0,9706000.0,0.0,9706000.0,0.0,9706000.0,53736000.0,34000.0,905000.0,8150000.0,18578000.0,0.2773995102430867,13236000.0,0.19763483246729976,-3713000.0,9523000.0,0.1421937526130323,3411000.0,6112000.0,0.09126201994863525,0.041132370388112044,0.041132370388112044,148593430,148593430,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,KRR.TO,CAD,,2021-09-30,2021-09-30,2021,Q3,68360000.0,41548000.0,26812000.0,0.3922176711527209,0.0,6129000.0,0.0,6129000.0,0.0,6129000.0,47677000.0,31000.0,1135000.0,6508000.0,23648000.0,0.3459332943241662,20683000.0,0.3025599765944997,-4678000.0,16005000.0,0.23412814511410182,5665000.0,10340000.0,0.15125804564072556,0.07,0.07,148593430,153010435,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,KRR.TO,CAD,,2021-06-30,2021-06-30,2021,Q2,69570000.0,41644000.0,27926000.0,0.4014086531550956,0.0,8471000.0,0.0,8471000.0,0.0,8471000.0,50115000.0,33000.0,998000.0,7770000.0,18968000.0,0.27264625556992955,19455000.0,0.2796463993100474,-9255000.0,10200000.0,0.14661492022423459,4809000.0,5391000.0,0.07749029754204398,0.04,0.04,146801153,153154785,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Karora Resources Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,KRR.TO,CAD,,2021-03-31,2021-03-31,2021,Q1,59284000.0,40339000.0,18945000.0,0.31956345725659535,0.0,6160000.0,0.0,6160000.0,56000.0,6216000.0,46555000.0,36000.0,1061000.0,7322000.0,18719000.0,0.31575129883273734,12729000.0,0.2147122326428716,-2393000.0,10336000.0,0.17434721003980838,4712000.0,5624000.0,0.09486539369813103,0.04,0.04,146254253,151018838,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,KRR.TO,CAD,,2020-12-31,2020-12-31,2020,Q4,69349000.0,41185000.0,28164000.0,0.4061197710132807,0.0,6845000.0,0.0,6845000.0,0.0,6845000.0,48030000.0,43000.0,1642000.0,9926000.0,38367000.0,0.5532451801756334,21319000.0,0.30741611270530217,5480000.0,26799000.0,0.3864367186260797,-16107000.0,42906000.0,0.6186967367950511,0.30037360410912994,0.30037360410912994,142842112,142842112,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,KRR.TO,CAD,,2020-09-30,2020-09-30,2020,Q3,59405000.0,36197000.0,23208000.0,0.3906741856746065,0.0,10088000.0,0.0,10088000.0,0.0,10088000.0,46285000.0,31000.0,1300000.0,4581000.0,56089000.0,0.9441797828465618,13120000.0,0.22085683023314537,37088000.0,50208000.0,0.845181382038549,15341000.0,34867000.0,0.586937126504503,0.24,0.24,142842112,147811447,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,KRR.TO,CAD,,2020-06-30,2020-06-30,2020,Q2,56100000.0,36361000.0,19739000.0,0.35185383244206775,0.0,6848000.0,0.0,6848000.0,0.0,6848000.0,43209000.0,28000.0,797000.0,5335000.0,23374000.0,0.4166488413547237,12891000.0,0.2297860962566845,4351000.0,17242000.0,0.30734402852049914,7424000.0,9818000.0,0.1750089126559715,0.070002,0.070002,135605419,140854312,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,KRR.TO,CAD,,2020-03-31,2020-03-31,2020,Q1,54282000.0,35677000.0,18605000.0,0.3427471353303121,0.0,3002000.0,0.0,3002000.0,0.0,3002000.0,38679000.0,73000.0,1054000.0,4135000.0,6073000.0,0.11187870749051251,15603000.0,0.2874433513872002,-14719000.0,884000.0,0.016285324785380053,345000.0,539000.0,0.00992962676393648,0.003989,0.003839,135119812,140418572,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=KARORA RESOURCES INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
