date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,LUG.TO,USD,,2022-06-30,2022-06-30,2022,Q2,301032000.0,0.0,301032000.0,143907000.0,98718000.0,25679000.0,569336000.0,1003366000.0,0.0,0.0,0.0,0.0,17581000.0,73747000.0,1094694000.0,0.0,1664030000.0,64443000.0,211345000.0,34036000.0,0.0,39627000.0,315415000.0,406368000.0,0.0,1650000.0,30401000.0,438419000.0,0.0,0.0,753834000.0,0.0,986851000.0,-101540000.0,12037000.0,12848000.0,910196000.0,1664030000.0,0.0,910196000.0,1664030000.0,0.0,617713000.0,316681000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,LUG.TO,USD,,2022-03-31,2022-03-31,2022,Q1,336939000.0,0.0,336939000.0,163407000.0,86504000.0,28830000.0,615680000.0,1021400000.0,0.0,0.0,0.0,0.0,33824000.0,64319000.0,1119543000.0,0.0,1735223000.0,53739000.0,207243000.0,74828000.0,0.0,81018000.0,342000000.0,511911000.0,0.0,0.0,35180000.0,547091000.0,0.0,0.0,889091000.0,0.0,983349000.0,-157502000.0,8451000.0,11834000.0,846132000.0,1735223000.0,0.0,846132000.0,1735223000.0,0.0,719154000.0,382215000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,LUG.TO,USD,,2021-12-31,2021-12-31,2021,Q4,262608000.0,0.0,262608000.0,148309000.0,84946000.0,32374000.0,528237000.0,1042220000.0,0.0,0.0,0.0,0.0,31110000.0,83546000.0,1156876000.0,0.0,1685113000.0,13575000.0,184662000.0,54847000.0,0.0,112779000.0,311016000.0,528277000.0,0.0,0.0,31343000.0,559620000.0,0.0,0.0,870636000.0,0.0,974740000.0,-180684000.0,6851000.0,13570000.0,814477000.0,1685113000.0,0.0,814477000.0,1685113000.0,0.0,712939000.0,450331000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,LUG.TO,USD,,2021-09-30,2021-09-30,2021,Q3,221828000.0,0.0,221828000.0,132577000.0,72504000.0,30994000.0,457903000.0,1069466000.0,0.0,0.0,0.0,0.0,0.0,103461000.0,1172927000.0,0.0,1630830000.0,54276000.0,227873000.0,35586000.0,0.0,39615000.0,321764000.0,496425000.0,0.0,0.0,27904000.0,524329000.0,0.0,0.0,846093000.0,0.0,971985000.0,-209473000.0,9285000.0,12940000.0,784737000.0,1630830000.0,0.0,784737000.0,1630830000.0,0.0,724298000.0,502470000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,LUG.TO,USD,,2021-06-30,2021-06-30,2021,Q2,192200000.0,0.0,192200000.0,106619000.0,72652000.0,33384000.0,404855000.0,1077263000.0,0.0,0.0,0.0,0.0,0.0,108731000.0,1185994000.0,0.0,1590849000.0,58253000.0,212615000.0,21123000.0,0.0,24977000.0,295845000.0,534943000.0,0.0,0.0,28483000.0,563426000.0,0.0,0.0,859271000.0,0.0,968416000.0,-266146000.0,16284000.0,13024000.0,731578000.0,1590849000.0,0.0,731578000.0,1590849000.0,0.0,747558000.0,555358000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,LUG.TO,USD,,2021-03-31,2021-03-31,2021,Q1,94358000.0,0.0,94358000.0,97359000.0,74221000.0,41740000.0,307678000.0,1088499000.0,0.0,0.0,0.0,0.0,0.0,106538000.0,1195037000.0,0.0,1502715000.0,49180000.0,196668000.0,0.0,0.0,4259000.0,250107000.0,336159000.0,0.0,0.0,247193000.0,583352000.0,0.0,0.0,833459000.0,0.0,959952000.0,-316130000.0,12775000.0,12659000.0,669256000.0,1502715000.0,0.0,669256000.0,1502715000.0,0.0,532827000.0,438469000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,LUG.TO,USD,,2020-12-31,2020-12-31,2020,Q4,79592000.0,0.0,79592000.0,109734000.0,59910000.0,39763000.0,288999000.0,1103245000.0,0.0,0.0,0.0,0.0,0.0,113116000.0,1216361000.0,0.0,1505360000.0,14229000.0,178575000.0,0.0,0.0,39592000.0,232396000.0,650699000.0,0.0,0.0,35407000.0,686106000.0,0.0,0.0,918502000.0,0.0,951725000.0,-402110000.0,22511000.0,14732000.0,586858000.0,1505360000.0,0.0,586858000.0,1505360000.0,0.0,829274000.0,749682000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,LUG.TO,USD,,2020-09-30,2020-09-30,2020,Q3,68760000.0,0.0,68760000.0,73680000.0,64161000.0,32580000.0,239181000.0,1102861000.0,0.0,0.0,0.0,0.0,0.0,110028000.0,1212889000.0,0.0,1452070000.0,40226000.0,167783000.0,0.0,0.0,0.0,208009000.0,640987000.0,0.0,0.0,6627000.0,647614000.0,0.0,0.0,855623000.0,0.0,951164000.0,-400877000.0,31934000.0,14226000.0,596447000.0,1452070000.0,0.0,596447000.0,1452070000.0,0.0,808770000.0,740010000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,LUG.TO,USD,,2020-06-30,2020-06-30,2020,Q2,74205000.0,0.0,74205000.0,28476000.0,46100000.0,26930000.0,175711000.0,1122099000.0,0.0,0.0,0.0,0.0,0.0,109421000.0,1231520000.0,0.0,1407231000.0,43812000.0,139104000.0,0.0,0.0,0.0,182916000.0,651181000.0,0.0,0.0,6147000.0,657328000.0,0.0,0.0,840244000.0,0.0,950192000.0,-428657000.0,31716000.0,13736000.0,566987000.0,1407231000.0,0.0,566987000.0,1407231000.0,0.0,790285000.0,716080000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,LUG.TO,USD,,2020-03-31,2020-03-31,2020,Q1,57467000.0,0.0,57467000.0,75616000.0,44066000.0,26245000.0,203394000.0,1115061000.0,0.0,0.0,0.0,0.0,0.0,84737000.0,1199798000.0,0.0,1403192000.0,53788000.0,110025000.0,0.0,0.0,0.0,163813000.0,698226000.0,0.0,0.0,5943000.0,704169000.0,0.0,0.0,867982000.0,0.0,903764000.0,-364283000.0,-17689000.0,13418000.0,535210000.0,1403192000.0,0.0,535210000.0,1403192000.0,0.0,808251000.0,750784000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
