date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,LUG.TO,USD,,2022-06-30,2022-06-30,2022,Q2,55962000.0,0.0,15407000.0,841000.0,-26758000.0,12712000.0,-7524000.0,7602000.0,0.0,15234000.0,60686000.0,-11389000.0,0.0,0.0,0.0,-1654000.0,-13043000.0,-60058000.0,0.0,0.0,0.0,-22893000.0,-82951000.0,-599000.0,-35907000.0,301032000.0,336939000.0,60686000.0,-11389000.0,49297000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,LUG.TO,USD,,2022-03-31,2022-03-31,2022,Q1,23182000.0,0.0,-3070000.0,992000.0,12780000.0,2462000.0,-2692000.0,-12227000.0,0.0,93446000.0,127330000.0,-11207000.0,0.0,0.0,0.0,-1031000.0,-12238000.0,-23646000.0,0.0,0.0,0.0,-17381000.0,-41027000.0,266000.0,74331000.0,336939000.0,262608000.0,127330000.0,-11207000.0,116123000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,LUG.TO,USD,,2021-12-31,2021-12-31,2021,Q4,28789000.0,0.0,-27703000.0,962000.0,27493000.0,-2107000.0,-8091000.0,0.0,0.0,78465000.0,108006000.0,-8143000.0,0.0,0.0,0.0,-643000.0,-8786000.0,-36494000.0,0.0,0.0,0.0,-22055000.0,-58549000.0,109000.0,40780000.0,262608000.0,221828000.0,108006000.0,-8143000.0,99863000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,LUG.TO,USD,,2021-09-30,2021-09-30,2021,Q3,56673000.0,0.0,1487000.0,723000.0,-5361000.0,-21550000.0,-1037000.0,0.0,0.0,39136000.0,92658000.0,-22472000.0,0.0,0.0,0.0,-2243000.0,-24715000.0,-19635000.0,0.0,0.0,0.0,-18214000.0,-37849000.0,-466000.0,29628000.0,221828000.0,192200000.0,92658000.0,-22472000.0,70186000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,LUG.TO,USD,,2021-06-30,2021-06-30,2021,Q2,49984000.0,0.0,-783000.0,868000.0,24893000.0,-4388000.0,-1599000.0,0.0,0.0,67043000.0,142005000.0,-13467000.0,0.0,0.0,0.0,-2484000.0,-15951000.0,-13293000.0,0.0,0.0,0.0,-15013000.0,-28306000.0,94000.0,97842000.0,192200000.0,94358000.0,142005000.0,-13467000.0,128538000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,LUG.TO,USD,,2021-03-31,2021-03-31,2021,Q1,85980000.0,20995000.0,2952000.0,485000.0,3640000.0,13399000.0,-8162000.0,0.0,0.0,-38969000.0,75083000.0,-12909000.0,0.0,0.0,0.0,-748000.0,-13657000.0,-34311000.0,0.0,0.0,0.0,-12411000.0,-46722000.0,62000.0,14766000.0,94358000.0,79592000.0,75083000.0,-12909000.0,62174000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,LUG.TO,USD,,2020-12-31,2020-12-31,2020,Q4,-1233000.0,27844000.0,0.0,304000.0,-25211000.0,-43924000.0,768000.0,0.0,0.0,93315000.0,95019000.0,0.0,0.0,0.0,0.0,-32491000.0,-32491000.0,-32407000.0,0.0,0.0,0.0,-18825000.0,-51232000.0,-464000.0,10832000.0,79592000.0,68760000.0,95019000.0,0.0,130408000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,LUG.TO,USD,,2020-09-30,2020-09-30,2020,Q3,27780000.0,0.0,0.0,512000.0,-53004000.0,-51447000.0,-10789000.0,0.0,0.0,48097000.0,23385000.0,-13718000.0,0.0,0.0,0.0,-4248000.0,-17966000.0,-1873000.0,0.0,0.0,0.0,-8849000.0,-10722000.0,-142000.0,-5445000.0,68760000.0,74205000.0,23385000.0,-13718000.0,9667000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,LUG.TO,USD,,2020-06-30,2020-06-30,2020,Q2,-64374000.0,4127000.0,0.0,1330000.0,1864000.0,13076000.0,-3917000.0,0.0,0.0,38457000.0,-18596000.0,-2141000.0,0.0,0.0,0.0,-2641000.0,-4782000.0,-494000.0,41419000.0,0.0,0.0,-2076000.0,38849000.0,1267000.0,16738000.0,74205000.0,57467000.0,-18596000.0,-2141000.0,-20737000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,LUG.TO,USD,,2020-03-31,2020-03-31,2020,Q1,-9331000.0,0.0,0.0,1915000.0,11140000.0,-27846000.0,2780000.0,0.0,2695000.0,7890000.0,11614000.0,0.0,-22975000.0,0.0,0.0,-4875000.0,-27850000.0,-1492000.0,0.0,0.0,0.0,2493000.0,1001000.0,-2982000.0,-18217000.0,57467000.0,75684000.0,11614000.0,0.0,11614000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Lundin Gold Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
