date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,MAG.TO,USD,,2022-06-30,2022-06-30,2022,Q2,7562000.0,34000.0,1270000.0,708000.0,-2458000.0,-43000.0,0.0,0.0,0.0,-12146000.0,-5030000.0,-263000.0,-104000.0,0.0,0.0,-2549000.0,-2916000.0,-25000.0,0.0,0.0,0.0,32000.0,7000.0,346000.0,-7593000.0,44655000.0,52248000.0,-5030000.0,-263000.0,-5293000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,MAG.TO,USD,,2022-03-31,2022-03-31,2022,Q1,2680000.0,34000.0,-1602000.0,497000.0,3000.0,-62000.0,0.0,0.0,0.0,-3276000.0,-1664000.0,0.0,-85000.0,0.0,1111000.0,-3694000.0,-2668000.0,-28000.0,0.0,0.0,0.0,0.0,-28000.0,-140000.0,-4500000.0,52248000.0,56748000.0,-1664000.0,0.0,-1664000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,MAG.TO,USD,,2021-12-31,2021-12-31,2021,Q4,8662000.0,39000.0,-3291000.0,682000.0,984000.0,-21000.0,0.0,0.0,0.0,-8704000.0,-1628000.0,0.0,-18342000.0,0.0,2914000.0,-1840000.0,-17268000.0,-26000.0,43242000.0,0.0,0.0,793000.0,44009000.0,-72000.0,25041000.0,56748000.0,31707000.0,-1628000.0,0.0,-1628000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,MAG.TO,USD,,2021-09-30,2021-09-30,2021,Q3,-2280000.0,39000.0,1482000.0,896000.0,11000.0,-24000.0,0.0,0.0,0.0,-1422000.0,-1274000.0,-1000.0,-31884000.0,0.0,108000.0,-1514000.0,-33291000.0,-24000.0,0.0,0.0,0.0,0.0,-24000.0,-46000.0,-34635000.0,31707000.0,66342000.0,-1274000.0,-1000.0,-1275000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,MAG.TO,USD,,2021-06-30,2021-06-30,2021,Q2,3305000.0,39000.0,-1405000.0,1485000.0,816000.0,114000.0,0.0,0.0,0.0,-5138000.0,-898000.0,0.0,-23809000.0,0.0,0.0,-2218000.0,-26027000.0,-18000.0,0.0,0.0,0.0,117000.0,99000.0,324000.0,-26502000.0,66342000.0,92844000.0,-898000.0,0.0,-898000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,MAG.TO,USD,,2021-03-31,2021-03-31,2021,Q1,-3662000.0,29000.0,1647000.0,1193000.0,-1447000.0,47000.0,0.0,0.0,0.0,-682000.0,-2922000.0,-4000.0,0.0,0.0,3349000.0,-1698000.0,1647000.0,-23000.0,0.0,0.0,0.0,75000.0,52000.0,59000.0,-1164000.0,92844000.0,94008000.0,-2922000.0,-4000.0,-2926000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,MAG.TO,USD,,2020-12-31,2020-12-31,2020,Q4,10111000.0,30000.0,-3923000.0,860000.0,309000.0,19000.0,0.0,0.0,0.0,-9897000.0,-2510000.0,-2451000.0,0.0,0.0,1754000.0,-40641000.0,-41338000.0,-21000.0,0.0,0.0,0.0,1017000.0,996000.0,815000.0,-42037000.0,94008000.0,136045000.0,-2510000.0,-2451000.0,-4961000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,MAG.TO,USD,,2020-09-30,2020-09-30,2020,Q3,-3607000.0,31000.0,-1229000.0,554000.0,331000.0,11000.0,0.0,0.0,0.0,3328000.0,-592000.0,-1340000.0,0.0,0.0,1409000.0,-173000.0,-104000.0,-9000.0,47863000.0,0.0,0.0,1715000.0,49569000.0,64000.0,48937000.0,136045000.0,87108000.0,-592000.0,-1340000.0,-1932000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,MAG.TO,USD,,2020-06-30,2020-06-30,2020,Q2,1297000.0,30000.0,-2516000.0,1230000.0,-472000.0,-220000.0,0.0,0.0,0.0,-1065000.0,-1496000.0,-527000.0,0.0,0.0,411000.0,-23284000.0,-23400000.0,-26000.0,41301000.0,0.0,0.0,499000.0,41774000.0,-97000.0,16781000.0,87108000.0,70327000.0,-1496000.0,-527000.0,-2023000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,MAG.TO,USD,,2020-03-31,2020-03-31,2020,Q1,-14898000.0,30000.0,8694000.0,478000.0,-602000.0,-11000.0,0.0,0.0,0.0,4682000.0,-1616000.0,-629000.0,0.0,0.0,331000.0,-172000.0,-470000.0,-16000.0,106000.0,0.0,0.0,0.0,90000.0,-37000.0,-2033000.0,70327000.0,72360000.0,-1616000.0,-629000.0,-2245000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
