date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,MAG.TO,USD,,2022-06-30,2022-06-30,2022,Q2,0.0,0.0,0.0,0.0,0.0,3282000.0,0.0,3282000.0,66000.0,3348000.0,3348000.0,18000.0,18000.0,34000.0,-3129000.0,0.0,-8999000.0,0.0,17831000.0,8832000.0,0.0,1270000.0,7562000.0,0.0,0.08,0.08,98238658.0,98524121.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,MAG.TO,USD,,2022-03-31,2022-03-31,2022,Q1,0.0,34000.0,-34000.0,0.0,0.0,2236000.0,0.0,2236000.0,25000.0,2261000.0,2295000.0,101000.0,101000.0,34000.0,8229000.0,0.0,-2295000.0,0.0,3373000.0,1078000.0,0.0,-1602000.0,2680000.0,0.0,0.03,0.03,97819441.0,98077137.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,MAG.TO,USD,,2021-12-31,2021-12-31,2021,Q4,0.0,39000.0,-39000.0,0.0,0.0,3308000.0,0.0,3308000.0,28000.0,3336000.0,3375000.0,22000.0,22000.0,39000.0,-3283000.0,0.0,-3375000.0,0.0,8746000.0,5371000.0,0.0,-3291000.0,8662000.0,0.0,0.08232588199513383,0.08049288183473963,105216000.0,107612000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,MAG.TO,USD,,2021-09-30,2021-09-30,2021,Q3,0.0,39000.0,-39000.0,0.0,0.0,2173000.0,0.0,2173000.0,34000.0,2207000.0,2246000.0,25000.0,0.0,39000.0,-2173000.0,0.0,-2246000.0,0.0,1448000.0,-798000.0,0.0,1482000.0,-2280000.0,0.0,-0.02,-0.023999,95002815.0,95002815.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,MAG.TO,USD,,2021-06-30,2021-06-30,2021,Q2,0.0,39000.0,-39000.0,0.0,0.0,2990000.0,0.0,2990000.0,33000.0,3023000.0,3062000.0,42000.0,0.0,39000.0,-3123000.0,0.0,-3062000.0,0.0,4962000.0,1900000.0,0.0,-1405000.0,3305000.0,0.0,0.03,0.03,94884411.0,95235559.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,MAG.TO,USD,,2021-03-31,2021-03-31,2021,Q1,0.0,29000.0,-29000.0,0.0,0.0,2744000.0,0.0,2751000.0,0.0,2751000.0,2780000.0,85000.0,0.0,29000.0,-2799000.0,0.0,-2780000.0,0.0,765000.0,-2015000.0,0.0,1647000.0,-3662000.0,0.0,-0.04,-0.04,94829854.0,94829854.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,MAG.TO,USD,,2020-12-31,2020-12-31,2020,Q4,0.0,30000.0,-30000.0,0.0,0.0,3123000.0,0.0,3226000.0,0.0,3226000.0,3256000.0,120000.0,0.0,30000.0,-3446000.0,0.0,-3256000.0,0.0,9444000.0,6188000.0,0.0,-3923000.0,10111000.0,0.0,0.10821373963448885,0.10821373963448885,93435455.0,93435455.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,MAG.TO,USD,,2020-09-30,2020-09-30,2020,Q3,0.0,31000.0,-31000.0,0.0,0.0,1490000.0,0.0,1618000.0,0.0,1618000.0,1649000.0,133000.0,0.0,31000.0,-1618000.0,0.0,-1649000.0,0.0,-3187000.0,-4836000.0,0.0,-1229000.0,-3607000.0,0.0,-0.04,-0.04,93435455.0,93435455.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,MAG.TO,USD,,2020-06-30,2020-06-30,2020,Q2,0.0,30000.0,-30000.0,0.0,0.0,2309000.0,0.0,2362000.0,0.0,2362000.0,2392000.0,110000.0,0.0,30000.0,-2362000.0,0.0,-2392000.0,0.0,1173000.0,-1219000.0,0.0,-2516000.0,1297000.0,0.0,0.014465059837558383,0.014424438651338786,89664337.0,89916844.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,MAG.TO,USD,,2020-03-31,2020-03-31,2020,Q1,0.0,30000.0,-30000.0,0.0,0.0,1413000.0,0.0,1766000.0,0.0,1766000.0,1796000.0,274000.0,0.0,30000.0,-1766000.0,0.0,-1796000.0,0.0,-4408000.0,-6204000.0,0.0,8694000.0,-14898000.0,0.0,-0.17,-0.17,86558647.0,86558647.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=MAG Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
