date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,PAAS.TO,USD,,2022-06-30,2022-06-30,2022,Q2,194829000.0,46430000.0,241259000.0,177969000.0,435362000.0,17710000.0,872300000,2243142000,5332000.0,0.0,5332000.0,112472000.0,54740000.0,35582000.0,2451268000,0.0,3323568000,65079000.0,20926000.0,44070000.0,0.0,272374000.0,358379000.0,42297000.0,14637000.0,159665000.0,270970000.0,487569000.0,0.0,32523000.0,845948000.0,0.0,3137457000.0,-746016000.0,-12205000.0,93266000,2472502000,3318450000,5118000,2477620000.0,3323568000,158902000.0,63223000.0,-131606000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,PAAS.TO,USD,,2022-03-31,2022-03-31,2022,Q1,271876000.0,54410000.0,326286000.0,161794000.0,472959000.0,21584000.0,982623000,2330156000,2775000.0,0.0,2775000.0,126112000.0,61992000.0,36639000.0,2557674000,0.0,3540297000,75153000.0,15374000.0,64979000.0,0.0,271433000.0,361960000.0,31672000.0,14951000.0,171433000.0,272312000.0,490368000.0,0.0,32596000.0,852328000.0,0.0,3136626000.0,-546773000.0,0.0,93348000,2683201000,3535529000,4768000,2687969000.0,3540297000,180522000.0,47046000.0,-224830000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,PAAS.TO,USD,,2021-12-31,2021-12-31,2021,Q4,283550000.0,51723000.0,335273000.0,148432000.0,500462000.0,17002000.0,1001169000,2344551000,2775000.0,0.0,2775000.0,78657000.0,55953000.0,35479000.0,2517415000,0.0,3518584000,77461000.0,14063000.0,91471000.0,0.0,296151000.0,387675000.0,31798000.0,12516000.0,184785000.0,265802000.0,494901000.0,0.0,30561000.0,882576000.0,0.0,3136214000.0,-598035000.0,0.0,93375000,2631554000,3514130000,4454000,2636008000.0,3518584000,130380000.0,45861000.0,-237689000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,PAAS.TO,USD,,2021-09-30,2021-09-30,2021,Q3,257509000.0,57938000.0,315447000.0,155296000.0,498015000.0,15184000.0,983942000,2322854000,2775000.0,0.0,2775000.0,78692000.0,56164000.0,34895000.0,2495380000,0.0,3479322000,68198000.0,13985000.0,77079000.0,0.0,282998000.0,365181000.0,30992000.0,12669000.0,193716000.0,237650000.0,475027000.0,0.0,28827000.0,840208000.0,0.0,3132870000.0,-590996000.0,0.0,93414000,2635288000,3475496000,3826000,2639114000.0,3479322000,136630000.0,44977000.0,-212532000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,PAAS.TO,USD,,2021-06-30,2021-06-30,2021,Q2,157125000.0,83242000.0,240367000.0,153542000.0,521334000.0,22025000.0,937268000,2344696000,2775000.0,0.0,2775000.0,78392000.0,57728000.0,34153000.0,2517744000,0.0,3455012000,85164000.0,15054000.0,56040000.0,0.0,233950000.0,334168000.0,32642000.0,12775000.0,190303000.0,244965000.0,480685000.0,0.0,30696000.0,814853000.0,0.0,3132870000.0,-589962000.0,0.0,93393000,2636301000,3451154000,3858000,2640159000.0,3455012000,161634000.0,47696000.0,-109429000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,PAAS.TO,USD,,2021-03-31,2021-03-31,2021,Q1,133497000.0,72913000.0,206410000.0,147604000.0,458582000.0,25267000.0,837863000,2361777000,2775000.0,0.0,2775000.0,72822000.0,57116000.0,30257000.0,2524747000,0.0,3362610000,77414000.0,0.0,0.0,0.0,247404000.0,324818000.0,0.0,12995000.0,185971000.0,255536000.0,454502000.0,0.0,30840000.0,779320000.0,0.0,3132186000.0,-645859000.0,-3038526000.0,3131933000,2579734000,3359054000,3556000,2583290000.0,3362610000,145735000.0,30840000.0,-102657000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,PAAS.TO,USD,,2020-12-31,2020-12-31,2020,Q4,167113000.0,111946000.0,279059000.0,149807000.0,406191000.0,21867000.0,856924000,2415006000,4171000.0,0.0,4171000.0,71560000.0,57850000.0,28364000.0,2576951000,0.0,3433875000,80280000.0,0.0,0.0,0.0,281476000.0,361756000.0,0.0,13273000.0,175311000.0,277696000.0,466280000.0,0.0,33565000.0,828036000.0,0.0,3132140000.0,-623030000.0,-3037659000.0,3131068000,2602519000,3430555000,3320000,2605839000.0,3433875000,183506000.0,33565000.0,-133548000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,PAAS.TO,USD,,2020-09-30,2020-09-30,2020,Q3,150329000.0,81302000.0,231631000.0,151530000.0,358972000.0,10332000.0,752465000,2422478000,3057000.0,0.0,3057000.0,59239000.0,31462000.0,35768000.0,2552004000,0.0,3304469000,60516000.0,81302000.0,0.0,0.0,145038000.0,286856000.0,95560000.0,13297000.0,203665000.0,256205000.0,568727000.0,0.0,34266000.0,855583000.0,0.0,3129531000.0,-777203000.0,-2875877000.0,2969248000,2445699000,3301282000,3187000,2448886000.0,3304469000,140541000.0,176862000.0,26533000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,PAAS.TO,USD,,2020-06-30,2020-06-30,2020,Q2,188117000.0,73449000.0,261566000.0,149185000.0,279312000.0,12778000.0,702841000,2448173000,3057000.0,0.0,3057000.0,58670000.0,32446000.0,50646000.0,2592992000,0.0,3295833000,54229000.0,73449000.0,0.0,0.0,103611000.0,231289000.0,200000000.0,13576000.0,201915000.0,255358000.0,670849000.0,0.0,36946000.0,902138000.0,0.0,3128977000.0,-832436000.0,-2802823000.0,2896309000,2390027000,3292165000,3668000,2393695000.0,3295833000,132119000.0,273449000.0,85332000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,PAAS.TO,USD,,2020-03-31,2020-03-31,2020,Q1,147827000.0,91346000.0,239173000.0,154329000.0,325779000.0,18894000.0,738175000,2468689000,3057000.0,0.0,3057000.0,81104000.0,30203000.0,44816000.0,2627869000,0.0,3366044000,62627000.0,91346000.0,0.0,0.0,96233000.0,250206000.0,260000000.0,12489000.0,203978000.0,256276000.0,732743000.0,0.0,39230000.0,982949000.0,0.0,3126898000.0,-841996000.0,-2755055000.0,2848929000,2378776000,3361725000,4319000,2383095000.0,3366044000,172450000.0,351346000.0,203519000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
