date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,PAAS.TO,USD,,2022-06-30,2022-06-30,2022,Q2,-173982000.0,74327000.0,6868000.0,1311000.0,-19511000.0,0.0,-26420000.0,0.0,-893000.0,131822000.0,20835000.0,-71800000.0,0.0,0.0,3377000.0,65000.0,-68358000.0,-4582000.0,361000.0,0.0,-25261000.0,800000.0,-28682000.0,-842000.0,-77047000.0,194829000.0,271876000.0,20835000.0,-71800000.0,-50965000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,PAAS.TO,USD,,2022-03-31,2022-03-31,2022,Q1,76517000.0,84526000.0,11440000.0,1312000.0,-15058000.0,0.0,10335000.0,0.0,-294000.0,-89979000.0,68758000.0,-61453000.0,0.0,0.0,2682000.0,7699000.0,-51072000.0,-4269000.0,323000.0,0.0,-25255000.0,0.0,-29201000.0,-159000.0,-11674000.0,271876000.0,283550000.0,68758000.0,-61453000.0,7305000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,PAAS.TO,USD,,2021-12-31,2021-12-31,2021,Q4,14036000.0,76141000.0,28471000.0,2103000.0,-9663000.0,0.0,-17083000.0,0.0,3817000.0,7010000.0,118098000.0,-70147000.0,0.0,0.0,2755000.0,1067000.0,-66325000.0,-4266000.0,284000.0,0.0,-21032000.0,-43000.0,-25057000.0,-675000.0,26041000.0,283550000.0,257509000.0,118098000.0,-70147000.0,47951000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,PAAS.TO,USD,,2021-09-30,2021-09-30,2021,Q3,20251000.0,83184000.0,50385000.0,895000.0,23007000.0,0.0,12561000.0,0.0,-7403000.0,-20705000.0,157017000.0,-62190000.0,0.0,0.0,0.0,32242000.0,-29948000.0,-3995000.0,0.0,0.0,-21030000.0,-255000.0,-25280000.0,-1405000.0,100384000.0,257509000.0,157125000.0,157017000.0,-62190000.0,94827000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,PAAS.TO,USD,,2021-06-30,2021-06-30,2021,Q2,70939000.0,68540000.0,29596000.0,1250000.0,-37015000.0,0.0,-38429000.0,0.0,-767000.0,-46167000.0,87143000.0,-63170000.0,0.0,0.0,0.0,17243000.0,-45927000.0,-2853000.0,296000.0,0.0,-14720000.0,-322000.0,-17599000.0,11000.0,23628000.0,157125000.0,133497000.0,87143000.0,-63170000.0,23973000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,PAAS.TO,USD,,2021-03-31,2021-03-31,2021,Q1,-7798000.0,75093000.0,37977000.0,880000.0,-47398000.0,0.0,-39934000.0,0.0,-92000.0,-28904000.0,29850000.0,-47971000.0,0.0,0.0,2739000.0,770000.0,-44462000.0,-2982000.0,39000.0,0.0,-14718000.0,-313000.0,-17974000.0,-1030000.0,-33616000.0,133497000.0,167113000.0,29850000.0,-47971000.0,-18121000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,PAAS.TO,USD,,2020-12-31,2020-12-31,2020,Q4,168885000.0,78665000.0,-9515000.0,-212000.0,18576000.0,0.0,-20031000.0,0.0,-221000.0,-85828000.0,170571000.0,-53636000.0,0.0,0.0,0.0,13503000.0,-40133000.0,-93180000.0,9000.0,0.0,-14712000.0,-5616000.0,-113499000.0,-155000.0,16784000.0,167113000.0,150329000.0,170571000.0,-53636000.0,116935000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,PAAS.TO,USD,,2020-09-30,2020-09-30,2020,Q3,65741000.0,54305000.0,27629000.0,1002000.0,8984000.0,0.0,-37246000.0,0.0,-600000.0,-42718000.0,114943000.0,-38832000.0,0.0,0.0,0.0,4199000.0,-34633000.0,-112880000.0,387000.0,0.0,-10508000.0,5616000.0,-117385000.0,-713000.0,-37788000.0,150329000.0,188117000.0,114943000.0,-38832000.0,76111000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,PAAS.TO,USD,,2020-06-30,2020-06-30,2020,Q2,20063000.0,61325000.0,4723000.0,1231000.0,31271000.0,0.0,33664000.0,0.0,-751000.0,-55863000.0,62750000.0,-30338000.0,0.0,-1460000.0,86586000.0,-5460000.0,49328000.0,-142977000.0,1410000.0,0.0,-10503000.0,80000000.0,-72070000.0,282000.0,40290000.0,188117000.0,147827000.0,62750000.0,-30338000.0,32412000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,PAAS.TO,USD,,2020-03-31,2020-03-31,2020,Q1,-76807000.0,78149000.0,52720000.0,1003000.0,38151000.0,0.0,8990000.0,0.0,-830000.0,20835000.0,114051000.0,-55750000.0,0.0,0.0,0.0,-2730000.0,-58480000.0,-19064000.0,2931000.0,0.0,-10500000.0,0.0,-26633000.0,-1675000.0,27263000.0,147827000.0,120564000.0,114051000.0,-55750000.0,58301000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-12-31,PAAS.TO,USD,,2019-12-31,2019-12-31,2019,Q4,21435000.0,83835000.0,25952000.0,1312000.0,4746000.0,0.0,-9729000.0,0.0,-2001000.0,-7807000.0,129473000.0,-50319000.0,0.0,-1849000.0,-1331000.0,1952000.0,-51547000.0,-45726000.0,1171000.0,0.0,-7337000.0,-10000.0,-51902000.0,-173000.0,25851000.0,120564000.0,94713000.0,129473000.0,-50319000.0,79154000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
