date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,PAAS.TO,USD,,2022-06-30,2022-06-30,2022,Q2,340469000.0,372121000.0,-31652000.0,-0.09296587941927165,0.0,8315000.0,0.0,8315000.0,16526000.0,24841000.0,396962000.0,0.0,1014000.0,74327000.0,-91773000.0,-0.26954876949149553,-153811000.0,-0.45176212812326527,-12953000.0,-166764000.0,-0.489806707805997,6868000.0,-173982000.0,-0.5110068758095451,-0.83,-0.83,210514000,210514000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,PAAS.TO,USD,,2022-03-31,2022-03-31,2022,Q1,439888000.0,373133000.0,66755000.0,0.1517545375186411,0.0,10893000.0,0.0,10893000.0,15096000.0,25989000.0,399122000.0,0.0,895000.0,84526000.0,173378000.0,0.39414123595096934,90640000.0,0.20605244971447279,-2369000.0,88271000.0,0.20066698796057178,11440000.0,76517000.0,0.17394655003091697,0.36,0.36,210463000,210550000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,PAAS.TO,USD,,2021-12-31,2021-12-31,2021,Q4,422170000.0,346131000.0,76039000.0,0.18011464575881753,0.0,8255000.0,0.0,8255000.0,12676000.0,20931000.0,367062000.0,0.0,822000.0,76141000.0,119470000.0,0.2829902645853566,55108000.0,0.13053509249828268,-11973000.0,43135000.0,0.10217447947509298,28471000.0,14036000.0,0.033247270057086005,0.0667430658253249,0.0667430658253249,210299000,210299000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,PAAS.TO,USD,,2021-09-30,2021-09-30,2021,Q3,460349000.0,361462000.0,98887000.0,0.21480876465464246,0.0,9080000.0,0.0,9080000.0,16823000.0,25903000.0,387365000.0,0.0,1013000.0,83184000.0,154833000.0,0.33633829985510993,72984000.0,0.1585405855122961,-2380000.0,70604000.0,0.15337059491820337,50385000.0,20251000.0,0.04399053761385384,0.1,0.1,210299000,210419000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,PAAS.TO,USD,,2021-06-30,2021-06-30,2021,Q2,382132000.0,279084000.0,103048000.0,0.26966597929511266,0.0,9465000.0,0.0,9465000.0,10018000.0,19483000.0,298567000.0,0.0,782000.0,68540000.0,169857000.0,0.44449823621157086,83565000.0,0.21868097934745062,17272000.0,100837000.0,0.26388002051647075,29596000.0,70939000.0,0.185640040614238,0.34,0.34,210284000,210438000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Pan American Silver Corp.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,PAAS.TO,USD,,2021-03-31,2021-03-31,2021,Q1,368099000.0,278135000.0,89964000.0,0.24440164194958422,0.0,8052000.0,0.0,8052000.0,10761000.0,18813000.0,296948000.0,0.0,1043000.0,75093000.0,106315000.0,0.2888217571903211,71151000.0,0.19329310864740193,-40736000.0,30415000.0,0.08262722800116273,37977000.0,-7798000.0,-0.021184518295349893,-0.04,-0.04,210261000,210261000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,PAAS.TO,USD,,2020-12-31,2020-12-31,2020,Q4,430461000.0,293289000.0,137172000.0,0.3186630147678884,0.0,10681000.0,0.0,10681000.0,23455000.0,34136000.0,327425000.0,0.0,1696000.0,78665000.0,239731000.0,0.5569168867795224,103036000.0,0.23936198633557976,56467000.0,159503000.0,0.37053995600065975,-9515000.0,168885000.0,0.39233519412908485,0.8,0.8,211272500,211272500,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,PAAS.TO,USD,,2020-09-30,2020-09-30,2020,Q3,300414000.0,175853000.0,124561000.0,0.4146311423568808,0.0,10367000.0,0.0,10367000.0,31757000.0,42124000.0,217977000.0,0.0,1711000.0,54305000.0,149386000.0,0.4972671047288076,82437000.0,0.2744113123889033,10452000.0,92889000.0,0.30920329944676345,27629000.0,65741000.0,0.21883467481542138,0.312814046440807,0.3125240664590811,210160000,210355000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,PAAS.TO,USD,,2020-06-30,2020-06-30,2020,Q2,249509000.0,201123000.0,48386000.0,0.19392486844161935,0.0,8739000.0,0.0,8739000.0,62496000.0,71235000.0,272358000.0,0.0,2264000.0,61325000.0,88375000.0,0.3541956402374263,-22849000.0,-0.09157585497917911,46984000.0,24135000.0,0.09672997767615597,4723000.0,20063000.0,0.08040992509288242,0.0955194462033603,0.09542358693377472,210041000,210252000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,PAAS.TO,USD,,2020-03-31,2020-03-31,2020,Q1,358428000.0,308370000.0,50058000.0,0.1396598480029462,0.0,6588000.0,0.0,6588000.0,21820000.0,28408000.0,336778000.0,0.0,3545000.0,78149000.0,57607000.0,0.1607212606158001,21650000.0,0.06040264711462274,-46165000.0,-24515000.0,-0.06839588425011439,52720000.0,-76807000.0,-0.21428850424632004,-0.3661329303695794,-0.3657824554719497,209779000,209980000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=PAN AMERICAN SILVER CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
