date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,PRU.TO,AUD,,2022-06-30,2022-06-30,2022,Q4,426846000.0,0.0,426846000.0,12081000.0,158935000.0,20935000.0,618797000.0,1282127000.0,0.0,0.0,0.0,24721000.0,0.0,63043000.0,1369891000.0,0.0,1988688000.0,148180000.0,10436000.0,0.0,0.0,9434000.0,168050000.0,76107000.0,0.0,46979000.0,55395000.0,178481000.0,0.0,14003000.0,346531000.0,0.0,1049993000.0,372613000.0,43651000.0,0.0,1466257000.0,1812788000.0,175900000.0,1642157000.0,1988688000.0,0.0,86543000.0,-340303000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,PRU.TO,AUD,,2021-06-30,2021-06-30,2021,Q4,181545000.0,0.0,181545000.0,10917000.0,178540000.0,32297000.0,403299000.0,990375000.0,0.0,0.0,0.0,797000.0,0.0,15127000.0,1006299000.0,0.0,1409598000.0,120043000.0,1707000.0,0.0,0.0,2826000.0,124576000.0,135696000.0,0.0,50713000.0,39514000.0,225923000.0,0.0,4204000.0,350499000.0,0.0,850412000.0,149001000.0,32007000.0,0.0,1031420000.0,1381919000.0,27679000.0,1059099000.0,1409598000.0,0.0,137403000.0,-44142000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Limited&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,PRU.TO,AUD,,2020-06-30,2020-06-30,2020,Q4,218166000.0,0.0,218166000.0,12740000.0,117063000.0,14733000.0,362702000.0,868015000.0,0.0,0.0,0.0,667000.0,0.0,64331000.0,933013000.0,0.0,1295715000.0,100110000.0,1265000.0,0.0,0.0,8390000.0,109765000.0,218191000.0,0.0,51986000.0,40221000.0,310398000.0,0.0,1789000.0,420163000.0,0.0,776564000.0,32780000.0,57463000.0,0.0,866807000.0,1286970000.0,8745000.0,875552000.0,1295715000.0,0.0,219456000.0,1290000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-06-30,PRU.TO,AUD,,2019-06-30,2019-06-30,2019,Q4,125406000.0,0.0,125406000.0,10089000.0,126899000.0,6080000.0,268474000.0,668878000.0,0.0,0.0,0.0,444000.0,0.0,31487000.0,700809000.0,0.0,969283000.0,67484000.0,7831000.0,0.0,0.0,10518000.0,85833000.0,36996000.0,0.0,41817000.0,21125000.0,99938000.0,0.0,0.0,185771000.0,0.0,776564000.0,-61576000.0,61228000.0,0.0,776216000.0,961987000.0,7296000.0,783512000.0,969283000.0,0.0,44827000.0,-80579000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2018-12-31,PRU.TO,AUD,,2018-12-31,2018-12-31,2019,Q2,63095000.0,0.0,63095000.0,16634000.0,108025000.0,12588000.0,200342000.0,704931000.0,0.0,0.0,0.0,876000.0,0.0,47364000.0,753171000.0,0.0,953513000.0,0.0,18428000.0,0.0,0.0,86637000.0,105065000.0,0.0,0.0,40907000.0,71084000.0,111991000.0,0.0,0.0,217056000.0,0.0,0.0,-58129000.0,-503709000.0,0.0,0.0,217056000.0,736457000.0,736457000.0,953513000.0,0.0,68748000.0,5653000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2018-06-30,PRU.TO,AUD,,2018-06-30,2018-06-30,2018,Q4,31166000.0,0.0,31166000.0,21876000.0,124762000.0,19981000.0,197785000.0,731061000.0,0.0,0.0,0.0,1400000.0,0.0,32942000.0,765403000.0,0.0,963188000.0,98047000.0,32632000.0,0.0,0.0,2017000.0,132696000.0,52383000.0,0.0,45116000.0,18679000.0,116178000.0,0.0,0.0,248874000.0,0.0,720943000.0,-68567000.0,54485000.0,0.0,706861000.0,955735000.0,7453000.0,714314000.0,963188000.0,0.0,85015000.0,53849000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2017-12-31,PRU.TO,AUD,,2017-12-31,2017-12-31,2018,Q2,21833000.0,0.0,21833000.0,36234000.0,55758000.0,4939000.0,118764000.0,756253000.0,0.0,0.0,0.0,1743000.0,0.0,24620000.0,782616000.0,0.0,901380000.0,0.0,18628000.0,0.0,0.0,78319000.0,96947000.0,0.0,0.0,39719000.0,63723000.0,103442000.0,0.0,0.0,200389000.0,0.0,0.0,-51415000.0,-101405000.0,0.0,0.0,200389000.0,700991000.0,700991000.0,901380000.0,0.0,60903000.0,39070000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2017-06-30,PRU.TO,AUD,,2017-06-30,2017-06-30,2017,Q4,24027000.0,0.0,24027000.0,30436000.0,45819000.0,4780000.0,105062000.0,736462000.0,0.0,0.0,0.0,3324000.0,0.0,19951000.0,759737000.0,0.0,864799000.0,72204000.0,18158000.0,0.0,0.0,1993000.0,92355000.0,0.0,0.0,37944000.0,19201000.0,57145000.0,0.0,0.0,149500000.0,0.0,720739000.0,-39281000.0,27467000.0,0.0,708925000.0,858425000.0,6374000.0,715299000.0,864799000.0,0.0,18158000.0,-5869000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2016-12-31,PRU.TO,AUD,,2016-12-31,2016-12-31,2017,Q2,54655000.0,0.0,54655000.0,21154000.0,59974000.0,50390000.0,186173000.0,734355000.0,0.0,0.0,0.0,4508000.0,0.0,17205000.0,756068000.0,0.0,942241000.0,0.0,0.0,0.0,0.0,106857000.0,106857000.0,0.0,0.0,43724000.0,19714000.0,63438000.0,0.0,0.0,170295000.0,0.0,0.0,14614000.0,-251216000.0,0.0,0.0,170295000.0,771946000.0,771946000.0,942241000.0,0.0,0.0,-54655000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2016-06-30,PRU.TO,AUD,,2016-06-30,2016-06-30,2016,Q4,151257000.0,0.0,151257000.0,43648000.0,58849000.0,16545000.0,270299000.0,652491000.0,0.0,0.0,0.0,5044000.0,0.0,15241000.0,672776000.0,0.0,943075000.0,79868000.0,0.0,0.0,0.0,30718000.0,110586000.0,0.0,0.0,47216000.0,15935000.0,63151000.0,0.0,0.0,173737000.0,0.0,708692000.0,36899000.0,15555000.0,0.0,761146000.0,934883000.0,8192000.0,769338000.0,943075000.0,0.0,0.0,-151257000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
