date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2016-06-30,PRU.TO,AUD,,2016-06-30,2016-06-30,2016,Q4,53590000.0,51385000.0,2205000.0,0.04114573614480314,0.0,12565000.0,0.0,12565000.0,12536000.0,25101000.0,76486000.0,0.0,13000.0,12536000.0,-24089000.0,-0.44950550475835044,0.0,0.0,-15635000.0,-38544000.0,-0.7192386639298377,-6946000.0,-29692000.0,-0.5540585930210861,-0.0552542102607489,-0.0552542102607489,537370815,537370815,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2016-03-31,PRU.TO,AUD,,2016-03-31,2016-03-31,2016,Q3,49502000.0,34445000.0,15057000.0,0.30416952850389883,0.0,6603000.0,0.0,6603000.0,13205000.0,19808000.0,54253000.0,0.0,0.0,13205000.0,-6414000.0,-0.1295705224031352,0.0,0.0,-14868000.0,-19619000.0,-0.3963274211142984,-1699000.0,-17920000.0,-0.3620055755323017,-0.033348,-0.033348,537370815,537370815,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2015-12-31,PRU.TO,AUD,,2015-12-31,2015-12-31,2016,Q2,67559000.0,50653000.0,16906000.0,0.2502405304992673,0.0,6681000.0,0.0,6681000.0,13210000.0,19891000.0,70544000.0,0.0,155000.0,13210000.0,-11347000.0,-0.1679568969345313,0.0,0.0,-22516000.0,-25656000.0,-0.3797569531816634,-1818000.0,-22894000.0,-0.33887416924466024,-0.042946,-0.042946,533086790,541825918,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2015-09-30,PRU.TO,AUD,,2015-09-30,2015-09-30,2016,Q1,81552000.0,58124000.0,23428000.0,0.28727682950755346,0.0,6193000.0,0.0,6193000.0,9105000.0,15298000.0,73422000.0,0.0,138000.0,9105000.0,47975000.0,0.5882749656660781,0.0,0.0,31529000.0,39521000.0,0.4846110457131646,3711000.0,35021000.0,0.4294315283500098,0.065607,0.064518,533802971,542808849,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2015-06-30,PRU.TO,AUD,,2015-06-30,2015-06-30,2015,Q4,105444000.0,26538000.0,78906000.0,0.7483213838625242,0.0,6970000.0,0.0,6970000.0,18545000.0,25515000.0,52053000.0,0.0,151000.0,18545000.0,49691000.0,0.47125488410910055,0.0,0.0,-2172000.0,33174000.0,0.31461249573233185,12315000.0,18680000.0,0.17715564659914268,0.03476184317899736,0.03476184317899736,537370815,537370815,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2015-03-31,PRU.TO,AUD,,2015-03-31,2015-03-31,2015,Q3,85890000.0,41147000.0,44743000.0,0.5209337524740948,0.0,6745000.0,0.0,6745000.0,12321000.0,19066000.0,60213000.0,0.0,134000.0,12321000.0,49315000.0,0.5741646291768541,0.0,0.0,12827000.0,38370000.0,0.4467341949004541,8229000.0,28631000.0,0.3333449761322622,0.053831,0.053039,531867666,539805990,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2014-12-31,PRU.TO,AUD,,2014-12-31,2014-12-31,2015,Q2,70466000.0,37199000.0,33267000.0,0.47210001986773764,0.0,7819000.0,0.0,7819000.0,11340000.0,19159000.0,-18040000.0,0.0,141000.0,11340000.0,31670000.0,0.4494366077257117,0.0,0.0,14096000.0,20447000.0,0.2901683081202282,2011000.0,18178000.0,0.25796838191468224,0.034139,0.033644,532467342,540297744,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2014-09-30,PRU.TO,AUD,,2014-09-30,2014-09-30,2015,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041957,0.041363,532217117,539856597,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2014-06-30,PRU.TO,AUD,,2014-06-30,2014-06-30,2014,Q4,65544000.0,49048000.0,16496000.0,0.25167826193091664,0.0,6127000.0,0.0,6127000.0,10876000.0,17003000.0,66051000.0,0.0,344000.0,10876000.0,-1761000.0,-0.026867447821310876,0.0,0.0,-12629000.0,-13582000.0,-0.20721957768827048,-1549000.0,-11432000.0,-0.17441718540217258,-0.021273950279566262,-0.021273950279566262,537370815,537370815,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2014-03-31,PRU.TO,AUD,,2014-03-31,2014-03-31,2014,Q3,63398000.0,49102000.0,14296000.0,0.22549607243130698,0.0,8772000.0,0.0,8772000.0,9374000.0,18146000.0,67248000.0,91000.0,346000.0,9374000.0,-8615000.0,-0.13588756743114924,0.0,0.0,-14547000.0,-18652000.0,-0.29420486450676675,-2650000.0,-15685000.0,-0.24740528092368844,-0.033051,-0.033051,474574095,474574095,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Perseus Mining Ltd&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
