date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,SIL.TO,USD,,2022-06-30,2022-06-30,2022,Q2,118581000.0,0.0,118581000.0,18229000.0,19422000.0,1259000.0,157491000.0,199991000.0,0.0,0.0,0.0,0.0,0.0,8380000.0,208371000.0,0.0,365862000.0,0.0,161000.0,0.0,0.0,10618000.0,10779000.0,87744000.0,0.0,0.0,2645000.0,90389000.0,0.0,362000.0,101168000.0,0.0,403143000.0,-156572000.0,7361000.0,10762000.0,264694000.0,365862000.0,0.0,264694000.0,365862000.0,0.0,87905000.0,-30676000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,SIL.TO,USD,,2022-03-31,2022-03-31,2022,Q1,152013000.0,0.0,152013000.0,16027000.0,0.0,3447000.0,171487000.0,186507000.0,0.0,0.0,0.0,0.0,0.0,9978000.0,196485000.0,0.0,367972000.0,0.0,180000.0,0.0,0.0,10683000.0,10863000.0,87591000.0,0.0,0.0,2709000.0,90300000.0,0.0,407000.0,101163000.0,0.0,402526000.0,-166176000.0,20193000.0,10266000.0,266809000.0,367972000.0,0.0,266809000.0,367972000.0,0.0,87771000.0,-64242000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,SIL.TO,USD,,2021-12-31,2021-12-31,2021,Q4,176515000.0,0.0,176515000.0,10299000.0,0.0,3303000.0,190117000.0,165686000.0,0.0,0.0,0.0,0.0,0.0,13174000.0,178860000.0,0.0,368977000.0,0.0,178000.0,0.0,0.0,10385000.0,10563000.0,87431000.0,0.0,0.0,2713000.0,90144000.0,0.0,441000.0,100707000.0,0.0,401736000.0,-157442000.0,14194000.0,9782000.0,268270000.0,368977000.0,0.0,268270000.0,368977000.0,0.0,87609000.0,-88906000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,SIL.TO,USD,,2021-09-30,2021-09-30,2021,Q3,199007000.0,0.0,199007000.0,3830000.0,0.0,4120000.0,206957000.0,140113000.0,0.0,0.0,0.0,0.0,0.0,14247000.0,154360000.0,0.0,361317000.0,0.0,173000.0,0.0,0.0,30444000.0,30617000.0,58397000.0,0.0,0.0,0.0,58397000.0,0.0,467000.0,89014000.0,0.0,399797000.0,-149514000.0,12237000.0,9783000.0,272303000.0,361317000.0,0.0,272303000.0,361317000.0,0.0,58570000.0,-140437000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,SIL.TO,USD,,2021-06-30,2021-06-30,2021,Q2,200394000.0,0.0,200394000.0,5220000.0,0.0,4268000.0,209882000.0,101323000.0,0.0,0.0,0.0,0.0,0.0,10248000.0,111571000.0,0.0,321453000.0,0.0,169000.0,0.0,0.0,16382000.0,16551000.0,29365000.0,0.0,0.0,0.0,29365000.0,0.0,465000.0,45916000.0,0.0,399179000.0,-156433000.0,23502000.0,9289000.0,275537000.0,321453000.0,0.0,275537000.0,321453000.0,0.0,29534000.0,-170860000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,SIL.TO,USD,,2021-03-31,2021-03-31,2021,Q1,225973000.0,0.0,225973000.0,4577000.0,0.0,4858000.0,235408000.0,72655000.0,0.0,0.0,0.0,0.0,0.0,11045000.0,83700000.0,0.0,319108000.0,0.0,0.0,0.0,0.0,12723000.0,12723000.0,29021000.0,0.0,0.0,144000.0,29165000.0,0.0,284000.0,41888000.0,0.0,397935000.0,-147352000.0,-865000.0,27502000.0,277220000.0,319108000.0,0.0,277220000.0,319108000.0,0.0,29305000.0,-196668000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,SIL.TO,USD,,2020-12-31,2020-12-31,2020,Q4,135136000.0,0.0,135136000.0,687000.0,0.0,4586000.0,140409000.0,39009000.0,0.0,0.0,0.0,0.0,0.0,12271000.0,51280000.0,0.0,191689000.0,0.0,0.0,0.0,0.0,13550000.0,13550000.0,28967000.0,0.0,0.0,172000.0,29139000.0,0.0,310000.0,42689000.0,0.0,265939000.0,-134786000.0,-740000.0,18587000.0,149000000.0,191689000.0,0.0,149000000.0,191689000.0,0.0,29277000.0,-105859000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,SIL.TO,CAD,,2020-09-30,2020-09-30,2020,Q3,140667583.074349,0.0,140667583.074349,891256.2754,0.0,1663728.1855129898,143222567.535262,10778000.239063,0.0,0.0,0.0,0.0,0.0,8766136.743964,19544136.983027,0.0,162766704.518289,0.0,131484.580445,0.0,0.0,4693103.036098,4824587.616543,189756.155869,0.0,0.0,0.0,189756.155869,379512.31173800025,321240.736314,5014343.772412,0.0,265580922.782692,-116499820.702845,-750000.0,9421258.666029036,157752360.745876,162766704.51828802,9.8e-07,157752360.745877,162766704.518289,0.0,321240.736314,-140346342.338035,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,SIL.TO,CAD,,2020-06-30,2020-06-30,2020,Q2,160679455.264314,0.0,160679455.264314,2067652.657783,0.0,489090.64284700155,163236198.564944,7339288.329184,0.0,0.0,0.0,0.0,0.0,5993556.889734999,13332845.218919,0.0,176569043.783863,0.0,128862.205301,0.0,0.0,5875677.258749,6004539.46405,211597.598477,0.0,0.0,0.0,211597.598477,0.0,340459.803778,6216137.062527,0.0,258383365.06077,-96819446.478255,-648000.0,9436988.138819993,170352906.721335,176569043.783862,1e-06,170352906.721336,176569043.783863,0.0,340459.803778,-160338995.460536,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,SIL.TO,CAD,,2020-03-31,2020-03-31,2020,Q1,80860632.491891,0.0,80860632.491891,1578933.154703,0.0,605612.0434359908,83045177.69003,6540550.698068,0.0,0.0,0.0,0.0,0.0,4554746.157101,11095296.855169,0.0,94140474.54519899,0.0,123833.027782,0.0,0.0,8344007.897334001,8467840.925116,227843.745593,0.0,0.0,0.0,227843.745593,0.0,351676.773375,8695684.670709,0.0,158157635.735439,-81215722.042025,-559722.0,9062598.181074992,85444789.874489,94140474.545198,9.9e-07,85444789.87449,94140474.54519899,0.0,351676.773375,-80508955.71851599,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
