date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,SIL.TO,USD,,2022-06-30,2022-06-30,2022,Q2,9605000.0,15000.0,0.0,46000.0,-7161000.0,-6000.0,0.0,0.0,0.0,-7244000.0,-4739000.0,-21610000.0,0.0,0.0,0.0,698000.0,-20912000.0,-39000.0,362000.0,0.0,0.0,-1923000.0,-1600000.0,-6181000.0,-33432000.0,118581000.0,152013000.0,-4739000.0,-21610000.0,-26349000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,SIL.TO,USD,,2022-03-31,2022-03-31,2022,Q1,-8746000.0,14000.0,-57000.0,551000.0,-3361000.0,10000.0,0.0,0.0,0.0,3064000.0,-8535000.0,-17437000.0,0.0,0.0,0.0,357000.0,-17080000.0,-40000.0,492000.0,0.0,0.0,-1901000.0,-1449000.0,2562000.0,-24502000.0,152013000.0,176515000.0,-8535000.0,-17437000.0,-25972000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,SIL.TO,USD,,2021-12-31,2021-12-31,2021,Q4,-7945000.0,13000.0,0.0,842000.0,-5320000.0,10000.0,0.0,0.0,0.0,-473000.0,-12883000.0,-42035000.0,0.0,0.0,0.0,173000.0,-41862000.0,-40000.0,1233000.0,0.0,0.0,28709000.0,29902000.0,2351000.0,-22492000.0,176515000.0,199007000.0,-12883000.0,-42035000.0,-54918000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,SIL.TO,USD,,2021-09-30,2021-09-30,2021,Q3,6917000.0,13000.0,0.0,195000.0,-4138000.0,-10000.0,0.0,0.0,0.0,-6454000.0,-3467000.0,-22716000.0,0.0,0.0,0.0,247000.0,-22469000.0,-39000.0,377000.0,0.0,0.0,29164000.0,29502000.0,-4953000.0,-1387000.0,199007000.0,200394000.0,-3467000.0,-22716000.0,-26183000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,SIL.TO,USD,,2021-06-30,2021-06-30,2021,Q2,-9081000.0,18000.0,0.0,391000.0,1891000.0,-151000.0,0.0,0.0,0.0,2006000.0,-4775000.0,-24788000.0,0.0,0.0,0.0,784000.0,-24004000.0,-38000.0,827000.0,0.0,0.0,-794000.0,-5000.0,3205000.0,-25579000.0,200394000.0,225973000.0,-4775000.0,-24788000.0,-29563000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,SIL.TO,USD,,2021-03-31,2021-03-31,2021,Q1,-12651000.0,15000.0,0.0,585000.0,-6295000.0,209000.0,0.0,0.0,0.0,6618000.0,-11728000.0,-30842000.0,0.0,0.0,0.0,82000.0,-30760000.0,-36000.0,138386000.0,0.0,0.0,-7160000.0,131190000.0,2135000.0,90837000.0,225973000.0,135136000.0,-11728000.0,-30842000.0,-42570000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,SIL.TO,USD,,2020-12-31,2020-12-31,2020,Q4,-17038143.91585,141742.768348,0.0,543286.636385,-4395000.956251,433091.561081,0.0,0.0,0.0,-2682457.5663399994,-23430573.033708,-18091929.954578,0.0,0.0,0.0,26235.715993002057,-18065694.238585,-34157.064308,477497.48984,0.0,0.0,28906276.117619,29349616.543151,4090805.880947,-5531583.074348986,135136000.0,140667583.074349,-23430573.033708,-18091929.954578,-41522502.988286,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,SIL.TO,CAD,,2020-09-30,2020-09-30,2020,Q3,-17709329.42864,103000.0,0.0,614000.0,-4783000.0,24000.0,0.0,0.0,0.0,-4548670.5713599995,-26324000.0,-3659059.795019,0.0,0.0,0.0,-549940.2049810002,-4209000.0,-47000.0,1726000.0,0.0,0.0,1614661.828499,3293661.828499,-1656048.522622,-31164000.0,188292000.0,219456000.0,-26324000.0,-4866000.0,-31190000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,SIL.TO,CAD,,2020-06-30,2020-06-30,2020,Q2,-12487186.996632,88368.0,0.0,1036020.0,-5821466.0,-49492.0,0.0,0.0,0.0,-85179.0033679977,-17269444.0,-632880.085405,0.0,0.0,0.0,98759.08540500002,-534121.0,-45393.0,129442031.0,0.0,0.0,-35601139.47135399,93795498.528646,-3530843.664911,104779451.0,219456000.0,114676549.0,-17269444.0,-836242.0,-18105686.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,SIL.TO,CAD,,2020-03-31,2020-03-31,2020,Q1,-11742773.938796,147632.0,0.0,1264980.0,5567466.0,227492.0,0.0,0.0,0.0,-9547860.061204,-14310556.0,-537130.164998,0.0,0.0,0.0,177251.16499800002,-359879.0,-46607.0,14040969.0,0.0,0.0,-4421138.900296001,9573223.099704,3798086.306586,4292756.0,114676549.0,110383793.0,-14310556.0,-761758.0,-15072314.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
