date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,SIL.TO,USD,,2022-06-30,2022-06-30,2022,Q2,0.0,15000.0,-15000.0,0.0,0.0,1304000.0,160000.0,1464000.0,1635000.0,3099000.0,3114000.0,760000.0,66000.0,15000.0,-2339000.0,0.0,-3114000.0,0.0,12719000.0,9605000.0,0.0,0.0,9605000.0,0.0,0.07,0.06,145949000,152114000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,SIL.TO,USD,,2022-03-31,2022-03-31,2022,Q1,0.0,14000.0,-14000.0,0.0,0.0,1903000.0,154000.0,2057000.0,1754000.0,3811000.0,3825000.0,383000.0,61000.0,14000.0,-3428000.0,0.0,-3825000.0,0.0,-4978000.0,-8803000.0,0.0,-57000.0,-8746000.0,0.0,-0.06,-0.06,145705000,145705000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,SIL.TO,USD,,2021-12-31,2021-12-31,2021,Q4,0.0,13000.0,-13000.0,0.0,0.0,2317000.0,76000.0,2393000.0,3292000.0,5685000.0,5698000.0,155000.0,6000.0,13000.0,-5530000.0,0.0,0.0,0.0,-2299000.0,-7848000.0,0.0,97000.0,-7945000.0,0.0,-0.05453,-0.05453,145705000,145705000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,SIL.TO,USD,,2021-09-30,2021-09-30,2021,Q3,0.0,13000.0,-13000.0,0.0,0.0,1444000.0,100000.0,1544000.0,2588000.0,4132000.0,4145000.0,250000.0,6000.0,13000.0,-3882000.0,0.0,-4145000.0,0.0,11063000.0,6918000.0,0.0,1000.0,6917000.0,0.0,0.05,0.05,144898000,151187000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,SIL.TO,USD,,2021-06-30,2021-06-30,2021,Q2,0.0,18000.0,-18000.0,0.0,0.0,1645000.0,143000.0,1788000.0,2472000.0,4260000.0,4278000.0,468000.0,7000.0,18000.0,-3792000.0,0.0,-4278000.0,0.0,-4771000.0,-9049000.0,0.0,32000.0,-9081000.0,0.0,-0.06,-0.06,144548000,144548000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SilverCrest Metals Inc.&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,SIL.TO,USD,,2021-03-31,2021-03-31,2021,Q1,0.0,15000.0,-15000.0,0.0,0.0,1818000.0,188000.0,2006000.0,2123000.0,4129000.0,4144000.0,212000.0,7000.0,15000.0,-3917000.0,0.0,-4144000.0,0.0,-8253000.0,-12397000.0,0.0,254000.0,-12651000.0,0.0,-0.09,-0.09,135555000,135555000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,SIL.TO,USD,,2020-12-31,2020-12-31,2020,Q4,0.0,293398.278747,-293398.278747,0.0,0.0,1490149.414296,94606.980636,1584756.394932,11119471.431986,12704227.826918,12997626.105666,196830.982548,7105.426727,141742.768348,-12659052.354769,0.0,-12997626.105666,0.0,-4040517.810183998,-17038143.91585,0.0,0.0,-17038143.91585,0.0,-0.13209092253426674,-0.13209092253426674,128988000,128988000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,SIL.TO,CAD,,2020-09-30,2020-09-30,2020,Q3,0.0,29135.787712,-29135.787712,0.0,0.0,1085494.860148,160620.368157,1246115.228305,14165969.399952,15412084.628257,15441220.415969,446001.67344,8217.786278,103000.0,-14914754.01344,0.0,-15441220.415969,0.0,-2268109.0126710013,-17709329.42864,0.0,0.0,-17709329.42864,0.0,-0.134473,-0.134473,128988000,128988000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,SIL.TO,CAD,,2020-06-30,2020-06-30,2020,Q2,0.0,27090.349978,-27090.349978,0.0,0.0,1566847.269,32947.722946,1599794.9919460001,6033094.157271,7632889.149217,7659979.499195,454678.576658,8786.059452,88368.0,-7136606.572561,0.0,-7659979.499195,0.0,-4827207.497437,-12487186.996632,0.0,0.0,-12487186.996632,0.0,-0.102504,-0.102504,124178000,124178000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,SIL.TO,CAD,,2020-03-31,2020-03-31,2020,Q1,0.0,41384.85404,-41384.85404,0.0,0.0,1328921.167677,83227.330419,1412148.498096,15449907.629390001,16862056.127486,16903440.981526,364882.950219,9171.484981,147632.0,-16434459.87872,0.0,-16903440.981526,0.0,5160667.042729998,-11742773.938796,0.0,0.0,-11742773.938796,0.0,-0.105768,-0.105768,109608795,109608795,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-12-31,SIL.TO,CAD,,2019-12-31,2019-12-31,2019,Q4,0.0,31824.572198,-31824.572198,0.0,0.0,628996.758661,0.0,1328539.732166,38486576.160512,39815115.892678,39846940.464876,202028.872349,10662.282361,165163.0,-39517297.482178,0.0,-39846940.464876,0.0,115566.69405200332,-39731373.770824,0.0,0.0,-39846204.548534,0.0,-0.449,-0.449,88832841,88832841,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=SILVERCREST METALS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
