date,close
2022-10-03,8.12
2022-09-30,7.67
2022-09-29,7.2
2022-09-28,6.91
2022-09-27,6.34
2022-09-26,6.36
2022-09-23,6.68
2022-09-22,7.22
2022-09-21,7.35
2022-09-20,7.22
2022-09-19,7.4
2022-09-16,7.45
2022-09-15,7.22
2022-09-14,7.45
2022-09-13,7.67
2022-09-12,7.98
2022-09-09,7.77
2022-09-08,7.48
2022-09-07,7.42
2022-09-06,7.01
2022-09-02,7.05
2022-09-01,6.72
2022-08-31,7.17
2022-08-30,7.27
2022-08-29,7.62
2022-08-26,7.77
2022-08-25,7.98
2022-08-24,8.03
2022-08-23,7.83
2022-08-22,7.74
2022-08-19,7.78
2022-08-18,8.08
2022-08-17,8.05
2022-08-16,8.79
2022-08-15,8.97
2022-08-12,9.05
2022-08-11,8.64
2022-08-10,8.76
2022-08-09,8.82
2022-08-08,8.94
2022-08-05,8.83
2022-08-04,8.97
2022-08-03,8.44
2022-08-02,8.62
2022-07-29,8.74
2022-07-28,8.31
2022-07-27,7.85
2022-07-26,7.53
2022-07-25,7.27
2022-07-22,7.65
2022-07-21,7.57
2022-07-20,7.26
2022-07-19,7.48
2022-07-18,7.41
2022-07-15,7.3
2022-07-14,7.19
2022-07-13,7.34
2022-07-12,7.02
2022-07-11,7.2
2022-07-08,7.31
2022-07-07,7.4
2022-07-06,7.4
2022-07-05,7.8
2022-07-04,8.1
2022-06-30,7.87
2022-06-29,8.3
2022-06-28,8.65
2022-06-27,9.07
2022-06-24,8.88
2022-06-23,8.7
2022-06-22,8.98
2022-06-21,8.79
2022-06-20,8.64
2022-06-17,8.51
2022-06-16,8.76
2022-06-15,8.87
2022-06-14,8.53
2022-06-13,8.91
2022-06-10,9.77
2022-06-09,9.17
2022-06-08,9.45
2022-06-07,9.51
2022-06-06,9.49
2022-06-03,9.69
2022-06-02,9.94
2022-06-01,9.21
2022-05-31,9.09
2022-05-30,9.6
2022-05-27,9.6
2022-05-26,9.47
2022-05-25,9.07
2022-05-24,9.08
2022-05-20,8.79
2022-05-19,9.04
2022-05-18,8.66
2022-05-17,8.91
2022-05-16,8.66
2022-05-13,8.75
2022-05-12,8.07
2022-05-11,8.61
2022-05-10,8.58
2022-05-09,8.65
2022-05-06,9.71
2022-05-05,9.69
2022-05-04,10.3
2022-05-03,9.81
2022-05-02,9.67
2022-04-29,9.69
2022-04-28,9.87
2022-04-27,9.36
2022-04-26,9.45
2022-04-25,9.96
2022-04-22,10.3
2022-04-21,10.57
2022-04-20,11.28
2022-04-19,11.29
2022-04-18,11.84
2022-04-14,12.1
2022-04-13,12.21
2022-04-12,11.57
2022-04-11,11.51
2022-04-08,11.41
2022-04-07,11.11
