date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2022-06-30,USA.TO,USD,,2022-06-30,2022-06-30,2022,Q2,8824000.0,0.0,8824000.0,4670000.0,11904000.0,3693000.0,29091000.0,172048000.0,0.0,0.0,0.0,0.0,0.0,8264000.0,180312000.0,0.0,209403000.0,21299000.0,3972000.0,0.0,10785000.0,2005000.0,38061000.0,8638000.0,24162000.0,259000.0,19072000.0,52131000.0,0.0,0.0,90192000.0,0.0,439269000.0,-393879000.0,59785000.0,0.0,105175000.0,195367000.0,14036000.0,119211000.0,209403000.0,0.0,12610000.0,3786000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,USA.TO,USD,,2022-03-31,2022-03-31,2022,Q1,7144000.0,0.0,7144000.0,11410000.0,8252000.0,2168000.0,28974000.0,174453000.0,0.0,0.0,0.0,0.0,0.0,12379000.0,186832000.0,0.0,215806000.0,14690000.0,5222000.0,0.0,11595000.0,2033000.0,33540000.0,8715000.0,29150000.0,500000.0,21790000.0,60155000.0,0.0,0.0,93695000.0,0.0,436690000.0,-387562000.0,58929000.0,0.0,108057000.0,201752000.0,14054000.0,122111000.0,215806000.0,0.0,13937000.0,6793000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,USA.TO,USD,,2021-12-31,2021-12-31,2021,Q4,2900000.0,0.0,2900000.0,8208000.0,10009000.0,2426000.0,23543000.0,177913000.0,0.0,0.0,0.0,0.0,0.0,11978000.0,189891000.0,0.0,213434000.0,20576000.0,10950000.0,0.0,11971000.0,2162000.0,45659000.0,8665000.0,28934000.0,488000.0,25853000.0,63940000.0,0.0,0.0,109599000.0,0.0,423098000.0,-387949000.0,57921000.0,0.0,93070000.0,202669000.0,10765000.0,103835000.0,213434000.0,0.0,19615000.0,16715000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,USA.TO,USD,,2021-09-30,2021-09-30,2021,Q3,2537000.0,0.0,2537000.0,5018000.0,17981000.0,2776000.0,28312000.0,171804000.0,0.0,0.0,0.0,0.0,0.0,5418000.0,177222000.0,0.0,205534000.0,20995000.0,11611000.0,0.0,4211000.0,1363000.0,38180000.0,5773000.0,16420000.0,491000.0,19950000.0,42634000.0,0.0,0.0,80814000.0,0.0,413246000.0,-354672000.0,55168000.0,0.0,113742000.0,194556000.0,10978000.0,124720000.0,205534000.0,0.0,17384000.0,14847000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,USA.TO,USD,,2021-06-30,2021-06-30,2021,Q2,1122000.0,0.0,1122000.0,5829000.0,19852000.0,2567000.0,29370000.0,172932000.0,0.0,0.0,0.0,0.0,0.0,5422000.0,178354000.0,0.0,207724000.0,20023000.0,13044000.0,0.0,4475000.0,1492000.0,39034000.0,5953000.0,17416000.0,490000.0,20397000.0,44256000.0,0.0,0.0,83290000.0,0.0,395527000.0,-336557000.0,54002000.0,0.0,112972000.0,196262000.0,11462000.0,124434000.0,207724000.0,0.0,18997000.0,17875000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,USA.TO,USD,,2021-03-31,2021-03-31,2021,Q1,4075000.0,0.0,4075000.0,5458000.0,16529000.0,1617000.0,27679000.0,173902000.0,0.0,0.0,0.0,0.0,0.0,5416000.0,179318000.0,0.0,206997000.0,17829000.0,6004000.0,0.0,4051000.0,0.0,27884000.0,7984000.0,18393000.0,456000.0,19091000.0,45924000.0,0.0,0.0,73808000.0,0.0,388956000.0,-318667000.0,50277000.0,0.0,120566000.0,194374000.0,12623000.0,133189000.0,206997000.0,0.0,13988000.0,9913000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,USA.TO,USD,,2020-12-31,2020-12-31,2020,Q4,4705000.0,0.0,4705000.0,5102000.0,8069000.0,2200000.0,20076000.0,259319000.0,0.0,0.0,0.0,0.0,0.0,5421000.0,264740000.0,0.0,284816000.0,21131000.0,9373000.0,0.0,3972000.0,4568000.0,39044000.0,18505000.0,19350000.0,459000.0,26296000.0,64610000.0,0.0,0.0,103654000.0,0.0,350707000.0,-230253000.0,49220000.0,0.0,169674000.0,273328000.0,11488000.0,181162000.0,284816000.0,0.0,27878000.0,23173000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,USA.TO,USD,,2020-09-30,2020-09-30,2020,Q3,22812000.0,0.0,22812000.0,3067000.0,7281000.0,2842000.0,36002000.0,238658000.0,0.0,0.0,0.0,0.0,0.0,4966000.0,243624000.0,0.0,279626000.0,19164000.0,9464000.0,0.0,3892000.0,2124000.0,34644000.0,14069000.0,20287000.0,314000.0,27120000.0,61790000.0,0.0,0.0,96434000.0,0.0,346258000.0,-221409000.0,47357000.0,0.0,172206000.0,268640000.0,10986000.0,183192000.0,279626000.0,0.0,23533000.0,721000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,USA.TO,USD,,2020-06-30,2020-06-30,2020,Q2,16905000.0,0.0,16905000.0,2297000.0,6956000.0,2288000.0,28446000.0,224352000.0,0.0,0.0,0.0,0.0,343000.0,4963000.0,229658000.0,0.0,258104000.0,18673000.0,4112000.0,0.0,8988000.0,2358000.0,34131000.0,14444000.0,21204000.0,321000.0,27900000.0,63869000.0,0.0,0.0,98000000.0,0.0,318163000.0,-216489000.0,46666000.0,0.0,148340000.0,246340000.0,11764000.0,160104000.0,258104000.0,0.0,18556000.0,1651000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,USA.TO,USD,,2020-03-31,2020-03-31,2020,Q1,16359000.0,0.0,16359000.0,2201000.0,6844000.0,1474000.0,26878000.0,210466000.0,0.0,0.0,0.0,0.0,343000.0,4961000.0,215770000.0,0.0,242648000.0,20846000.0,4673000.0,0.0,8468000.0,410000.0,34397000.0,9940000.0,22101000.0,303000.0,24502000.0,56846000.0,0.0,0.0,91243000.0,0.0,297097000.0,-205618000.0,45778000.0,0.0,137257000.0,228500000.0,14148000.0,151405000.0,242648000.0,0.0,14613000.0,-1746000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
