date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2022-06-30,USA.TO,USD,,2022-06-30,2022-06-30,2022,Q2,-7483000.0,0.0,1575000.0,663000.0,9284000.0,0.0,-1481000.0,0.0,0.0,2933000.0,6972000.0,0.0,0.0,0.0,0.0,-4485000.0,-4485000.0,-2110000.0,2134000.0,0.0,0.0,-1099000.0,-1075000.0,268000.0,1680000.0,8824000.0,7144000.0,6972000.0,-4485000.0,2487000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,USA.TO,USD,,2022-03-31,2022-03-31,2022,Q1,-1412000.0,0.0,441000.0,1054000.0,-8272000.0,0.0,346000.0,0.0,0.0,6366000.0,-1823000.0,0.0,0.0,0.0,0.0,-3480000.0,-3480000.0,-2292000.0,12660000.0,0.0,0.0,-1006000.0,9362000.0,185000.0,4244000.0,7144000.0,2900000.0,-1823000.0,-3480000.0,-5303000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,USA.TO,USD,,2021-12-31,2021-12-31,2021,Q4,-31438000.0,0.0,-1743000.0,910000.0,-3515000.0,0.0,502000.0,0.0,0.0,25998000.0,-9788000.0,0.0,0.0,0.0,0.0,-3688000.0,-3688000.0,-1460000.0,9457000.0,0.0,0.0,6145000.0,14142000.0,-303000.0,363000.0,2900000.0,2537000.0,-9788000.0,-3688000.0,-13476000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,USA.TO,USD,,2021-09-30,2021-09-30,2021,Q3,-18117000.0,0.0,52000.0,1722000.0,-1407000.0,0.0,-3003000.0,0.0,0.0,8497000.0,-9253000.0,-3595000.0,0.0,0.0,0.0,0.0,-3595000.0,-2305000.0,17231000.0,0.0,0.0,0.0,14926000.0,-663000.0,1415000.0,2537000.0,1122000.0,-9253000.0,-3595000.0,-12848000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,USA.TO,USD,,2021-06-30,2021-06-30,2021,Q2,-16992000.0,3376000.0,58000.0,831000.0,-9987000.0,0.0,-10872000.0,0.0,0.0,7123000.0,-15591000.0,-2206000.0,0.0,0.0,0.0,0.0,-2206000.0,-1954000.0,5977000.0,0.0,0.0,10262000.0,14285000.0,559000.0,-2953000.0,1122000.0,4075000.0,-15591000.0,-2206000.0,-17797000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,USA.TO,USD,,2021-03-31,2021-03-31,2021,Q1,-91127000.0,0.0,23000.0,886000.0,-9121000.0,0.0,-6573000.0,0.0,0.0,83026000.0,-16313000.0,-3157000.0,0.0,0.0,0.0,-1432000.0,-4589000.0,-5035000.0,25024000.0,0.0,0.0,76000.0,20065000.0,207000.0,-630000.0,4075000.0,4705000.0,-16313000.0,-3157000.0,-19470000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,USA.TO,USD,,2020-12-31,2020-12-31,2020,Q4,-8677000.0,0.0,-384000.0,2168000.0,-73000.0,0.0,-1146000.0,0.0,0.0,4447000.0,-2519000.0,-2207000.0,0.0,0.0,0.0,-16625000.0,-18832000.0,-1297000.0,0.0,0.0,0.0,4834000.0,3537000.0,-293000.0,-18107000.0,4705000.0,22812000.0,-2519000.0,-2207000.0,-4726000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,USA.TO,USD,,2020-09-30,2020-09-30,2020,Q3,-5211000.0,0.0,31000.0,686000.0,-756000.0,0.0,-325000.0,0.0,0.0,-4129000.0,-9379000.0,-2413000.0,0.0,0.0,0.0,-13947000.0,-16360000.0,-1554000.0,133000.0,0.0,0.0,33114000.0,31693000.0,-47000.0,5907000.0,22812000.0,16905000.0,-9379000.0,-2413000.0,-11792000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,USA.TO,USD,,2020-06-30,2020-06-30,2020,Q2,-8785000.0,0.0,-223000.0,611000.0,-2183000.0,0.0,-112000.0,0.0,0.0,2073000.0,-8507000.0,-2283000.0,0.0,0.0,0.0,-13472000.0,-15755000.0,-1566000.0,20644000.0,0.0,0.0,5436000.0,24514000.0,294000.0,546000.0,16905000.0,16359000.0,-8507000.0,-2283000.0,-10790000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,USA.TO,USD,,2020-03-31,2020-03-31,2020,Q1,-2480000.0,0.0,-426000.0,756000.0,1418000.0,0.0,673000.0,0.0,0.0,2216000.0,1484000.0,-4668000.0,0.0,0.0,0.0,-14885000.0,-19553000.0,-1676000.0,12814000.0,0.0,0.0,3091000.0,14229000.0,201000.0,-3639000.0,16359000.0,19998000.0,1484000.0,-4668000.0,-3184000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
