date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-06-30,USA.TO,USD,,2022-06-30,2022-06-30,2022,Q2,19948000.0,23677000.0,-3729000.0,-0.18693603368758774,0.0,2051000.0,0.0,2051000.0,2027000.0,4078000.0,27755000.0,0.0,1078000.0,5959000.0,1129000.0,0.056597152596751556,-7807000.0,-0.3913675556446762,104000.0,-7703000.0,-0.3861540004010427,1575000.0,-7483000.0,-0.3751253258472027,-0.04,-0.04,180795755.0,180795755.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2022-03-31,USA.TO,USD,,2022-03-31,2022-03-31,2022,Q1,26436000.0,22379000.0,4057000.0,0.15346497200786807,0.0,2649000.0,0.0,2649000.0,2493000.0,5142000.0,27521000.0,0.0,1027000.0,5760000.0,5816000.0,0.2200030261764261,-1085000.0,-0.0410425177787865,1230000.0,145000.0,0.0054849447722802236,441000.0,-1412000.0,-0.05341201392041156,-0.01,-0.01,172903384.0,172903384.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-12-31,USA.TO,USD,,2021-12-31,2021-12-31,2021,Q4,14250000.0,18554000.0,-4304000.0,-0.30203508771929827,0.0,2971000.0,0.0,2971000.0,4083000.0,7054000.0,25608000.0,0.0,2183000.0,4230000.0,-26768000.0,-1.8784561403508773,-11358000.0,-0.7970526315789473,-22776000.0,-34134000.0,-2.3953684210526314,-1743000.0,-31438000.0,-2.206175438596491,-0.18182,-0.18182,172903384.0,172903384.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-09-30,USA.TO,USD,,2021-09-30,2021-09-30,2021,Q3,10853000.0,20227000.0,-9374000.0,-0.8637243158573666,0.0,2836000.0,0.0,2836000.0,5823000.0,8659000.0,28886000.0,0.0,932000.0,4264000.0,-12869000.0,-1.1857550907583156,-18033000.0,-1.6615682299824934,-518000.0,-18551000.0,-1.709296968580116,52000.0,-18117000.0,-1.6693080254307564,-0.13,-0.13,144515250.0,144515250.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-06-30,USA.TO,USD,,2021-06-30,2021-06-30,2021,Q2,9515000.0,20152000.0,-10637000.0,-1.1179190751445087,0.0,2341000.0,0.0,2341000.0,3221000.0,5562000.0,25714000.0,0.0,1029000.0,3376000.0,-12529000.0,-1.3167630057803468,-16199000.0,-1.7024697845507093,-1525000.0,-17724000.0,-1.8627430373095113,58000.0,-16992000.0,-1.7858118759852863,-0.13,-0.13,133928463.0,133928463.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-03-31,USA.TO,USD,,2021-03-31,2021-03-31,2021,Q1,10186000.0,41409000.0,-31223000.0,-3.06528568623601,0.0,2119000.0,0.0,5803000.0,0.0,5803000.0,47212000.0,0.0,726000.0,0.0,-90378000.0,-8.872766542312979,-37026000.0,-3.634989200863931,-54751000.0,-91777000.0,-9.010111918319263,23000.0,-91127000.0,-8.946298841547222,-0.72,-0.72,127270944.0,127270944.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-12-31,USA.TO,USD,,2020-12-31,2020-12-31,2020,Q4,8668000.0,8814000.0,-146000.0,-0.016843562528841716,0.0,3868000.0,0.0,6708000.0,0.0,6708000.0,15522000.0,0.0,0.0,0.0,-9061000.0,-1.0453391785879096,-6854000.0,-0.7907245039224735,-2552000.0,-9406000.0,-1.0851407475772958,-384000.0,-8677000.0,-1.001038301799723,-0.07967912297978139,-0.07967912297978139,108899291.0,108899291.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-09-30,USA.TO,USD,,2020-09-30,2020-09-30,2020,Q3,7347000.0,8986000.0,-1639000.0,-0.22308425207567714,0.0,1560000.0,0.0,4580000.0,0.0,4580000.0,13566000.0,0.0,0.0,0.0,-5180000.0,-0.7050496801415543,-6219000.0,-0.8464679461004492,67000.0,-6152000.0,-0.8373485776507418,31000.0,-5211000.0,-0.7092690894242548,-0.05,-0.05,108899291.0,108899291.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-06-30,USA.TO,USD,,2020-06-30,2020-06-30,2020,Q2,4603000.0,9262000.0,-4659000.0,-1.0121659787095372,0.0,1798000.0,0.0,4286000.0,0.0,4286000.0,13548000.0,0.0,96000.0,0.0,-8912000.0,-1.9361286117749295,-8945000.0,-1.9432978492287638,-1994000.0,-10939000.0,-2.3764935911362155,-223000.0,-8785000.0,-1.9085379100586575,-0.09,-0.09,101010995.0,101010995.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2020-03-31,USA.TO,USD,,2020-03-31,2020-03-31,2020,Q1,7265000.0,12150000.0,-4885000.0,-0.6724019270474879,0.0,1908000.0,0.0,4312000.0,0.0,4312000.0,16462000.0,0.0,92000.0,0.0,-2814000.0,-0.3873365450791466,-9197000.0,-1.2659325533379215,4626000.0,-4571000.0,-0.6291810048176187,-426000.0,-2480000.0,-0.34136269786648316,-0.03,-0.03,87819387.0,87819387.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-12-31,USA.TO,USD,,2019-12-31,2019-12-31,2019,Q4,13123000.0,18006000.0,-4883000.0,-0.3720947953973939,0.0,3910000.0,0.0,4791000.0,0.0,4791000.0,22797000.0,0.0,118000.0,0.0,-11482000.0,-0.8749523736950392,-9674000.0,-0.7371789987045645,-3513000.0,-13187000.0,-1.0048769336279815,1453000.0,-13053000.0,-0.9946658538443953,-0.11986303932869499,-0.11986303932869499,108899291.0,108899291.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2019-09-30,USA.TO,USD,,2019-09-30,2019-09-30,2019,Q3,12525000.0,17964000.0,-5439000.0,-0.43425149700598803,0.0,1904000.0,0.0,2956000.0,0.0,2956000.0,20920000.0,8000.0,8000.0,0.0,-8506000.0,-0.679121756487026,-8395000.0,-0.6702594810379241,-119000.0,-8514000.0,-0.6797604790419162,278000.0,-8792000.0,-0.7019560878243513,-0.11,-0.11,81437739.0,81437739.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Americas Gold and Silver Corporation&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
